state,state_name,rank,total_population,share_american_indian_and_alaska_native,share_asian,share_black,share_hispanic_or_latino,share_native_hawaiian_and_other_pacific_islander,share_other,share_white
NC,North Carolina,34,3391578,0.025417372090513618,0.11210710766492765,0.004338098666756301,0.142510654332585,1.1174739310138231e-4,0.03825299020102147,0.6772620296510946
DC,District of Columbia,35,3035597,0.04444298765613486,0.16190126686776934,0.047949381950239116,0.034385987336263676,0.02140699177130561,0.009955208151806711,0.6799585056909728
AL,Alabama,36,2812204,0.04227111546673001,0.0812113914922246,0.3072849622573611,0.16887252845099432,0.15574510241789002,0.05419912637916737,0.19041541794265282
RI,Rhode Island,37,2599767,0.03245867802768479,0.0990877259385168,0.3006430960928422,0.43157367564093246,0.06074159722775156,0.008432678774674808,0.06706216364774228
MS,Mississippi,38,2437134,0.016130832362931214,0.15493403317175009,0.14992281918023384,0.4761342626215875,0.011163112081650004,0.015498532292438577,0.1762164082894088
KS,Kansas,39,2436398,0.008586446056842929,0.1788394178619421,0.02521303990563118,0.06870798613362841,0.019865391450822074,0.018814660002183552,0.6799730585889497
UT,Utah,40,2395733,0.027183329694920093,0.3031139112747539,0.062490686566491344,0.2064687509000377,0.02661481893015624,0.09032851323582386,0.28379998939781687
AK,Alaska,41,2318908,0.02977090941080888,0.15470902683504478,0.1063052091760432,0.30379428593113655,0.0035546903973766963,0.06033400203889072,0.34153230744816093
NH,New Hampshire,42,2301558,0.037627989388058,0.15439932428381123,0.17915994296037727,0.286571531110665,0.02897428611401494,0.009497479533429094,0.3037685776330642
SD,South Dakota,43,2276870,0.053926662479632126,0.7180418732733973,0.04817885957476711,0.05100335109163018,2.1257252280543025e-4,0.12850975242328283,1.2692863448506063e-4
IA,Iowa,44,2127163,0.050660903748325825,0.21213418999860378,0.09526726442684458,0.30774886550772085,0.009000250568480177,0.3042771052335905,0.020910950406715423
KY,Kentucky,45,1827728,0.060014947519543387,0.045239773095340226,0.4107159270963732,0.12253190846778077,0.011031729010005865,0.07550795304334124,0.2749572146402528
WI,Wisconsin,46,1690219,0.17592453995606486,0.07839634982212364,0.19010258433966248,0.29040911266528185,0.12179664292023697,0.058529101850115284,0.08484166844651492
AR,Arkansas,47,1685158,0.01772356063941779,0.03707308157454672,0.47322209549490313,0.06240008355299622,0.04358938449688397,0.20393458654915445,0.16205780110826404
CA,California,48,1496628,0.005140890054175119,0.05126658060653683,0.2992908057312839,0.09054487821957093,0.014107714141389845,0.0012454664753031482,0.5384043329404501
NV,Nevada,49,1322142,0.002200217525802826,0.10366133138497984,0.12882806839204866,0.20596653007014376,0.029595913298269022,0.001061156819766712,0.5286867825089892
GA,Georgia,50,1305288,0.03692824878494248,0.12615606670711751,0.21982734844723922,0.26037242355710005,0.01582869067975803,0.12810582798585446,0.21278139383798825
LA,Louisiana,51,1238135,0.020354000169609938,0.11353689218057805,0.16042515557673437,0.0912129937365473,0.0629575934772864,0.03916131924224741,0.5123512379506273
