season,season_start_year,month,geography,estimate_50_64_years,estimate_ge_65_years,estimate_6_months_4_years,estimate_5_12_years,estimate_13_17_years,estimate_18_49_years,ci_lower_50_64_years,ci_lower_ge_65_years,ci_lower_6_months_4_years,ci_lower_5_12_years,ci_lower_13_17_years,ci_lower_18_49_years,ci_upper_50_64_years,ci_upper_ge_65_years,ci_upper_6_months_4_years,ci_upper_5_12_years,ci_upper_13_17_years,ci_upper_18_49_years,sample_size_50_64_years,sample_size_ge_65_years,sample_size_6_months_4_years,sample_size_5_12_years,sample_size_13_17_years,sample_size_18_49_years
2015-16,2015,6,National,36.3,43.5,35,40.6,40.4,21.4,29.9,39.9,30.9,35.2,34,18.5,42.7,47,39.1,46,46.8,24.3,3104,4365,4899,2810,5371,3779
2015-16,2015,6,Region 1,37.6,55.6,32.6,42.9,33.1,22.7,30.6,52.9,28.3,37.1,25.8,16.7,44.5,58.2,36.8,48.6,40.5,28.7,4590,939,2375,4008,2008,3391
2015-16,2015,6,Region 10,35.3,53.9,29.9,41.7,35.6,19.2,31.7,50.3,23.9,35.1,28.4,16.6,39,57.5,36,48.3,42.8,21.7,1613,4030,5191,711,1922,3241
2015-16,2015,6,Region 2,38.4,51.9,30.7,37.4,41.8,25.5,34.4,45.2,24.7,31.7,37.2,22.3,42.5,58.5,36.6,43,46.4,28.7,3450,985,2061,4330,1264,1304
2015-16,2015,6,Region 3,39.4,45.5,33.4,34.6,32.6,27.7,32.4,42,28.9,28.4,29.6,21.3,46.5,48.9,38,40.7,35.6,34.2,5354,2458,4130,3612,4463,658
2015-16,2015,6,Region 4,25.1,42.8,35,46.9,39.5,28,20.3,36,32.1,39.4,33.4,22.6,29.9,49.7,37.9,54.3,45.6,33.3,4101,1185,4832,3882,5167,1287
2015-16,2015,6,Region 5,36,53.3,23.2,43.5,41.1,31.3,33.5,50.5,17.5,40.5,33.7,24.1,38.5,56,28.8,46.5,48.5,38.5,1426,1270,2396,550,5374,5415
2015-16,2015,6,Region 6,36.5,51.5,29,46.8,42.1,22.1,32.6,46.7,26.1,43.7,35.4,15.8,40.4,56.3,31.8,50,48.9,28.4,3052,4704,2192,3506,1179,1866
2015-16,2015,6,Region 7,37.8,55.2,35.9,44,37.4,20.4,32.6,52.2,30.4,40,33.1,14,43.1,58.2,41.5,48.1,41.6,26.8,4266,4992,2982,1005,5263,1728
2015-16,2015,6,Region 8,35.8,48.5,25.7,40.3,43.1,31.1,31.3,43,22.2,37.1,39.8,26.4,40.2,54.1,29.2,43.5,46.4,35.8,3418,1166,1456,2540,2437,1980
2015-16,2015,6,Region 9,33.1,56.9,38.9,48.6,38.4,17.9,27.3,54.4,34.8,42.4,32.2,14,38.9,59.5,43,54.8,44.7,21.8,2027,1492,1130,2131,5028,4618
2015-16,2015,7,National,39.9,54.7,30.9,39,37.8,30.9,33.3,52.2,25.3,34.2,32.7,24.9,46.6,57.2,36.6,43.9,42.9,36.9,1827,765,3857,3458,1810,3129
2015-16,2015,7,Region 1,46.5,62.3,31.3,39.2,47.9,28.4,41.9,58.2,27.6,34.5,45.1,25.1,51.1,66.4,34.9,43.9,50.7,31.7,652,366,745,2852,1646,4185
2015-16,2015,7,Region 10,35.3,53.2,31.6,48.1,43.3,32,32.5,49.8,27.4,44,39.3,26.1,38.1,56.5,35.8,52.1,47.4,37.8,4471,1752,2299,1502,1609,2544
2015-16,2015,7,Region 2,47,59.6,31.1,43.4,43.2,23,40.5,56.1,25.9,39.4,40.4,16.6,53.5,63.1,36.3,47.5,45.9,29.4,4263,2011,1805,5009,5392,1726
2015-16,2015,7,Region 3,35.8,57.2,34,47.7,42.8,26,28.5,50.5,31.3,42,35.5,21.4,43,63.8,36.7,53.3,50.2,30.6,831,2738,260,3850,1547,4249
2015-16,2015,7,Region 4,41.3,52,39.6,50.3,43.9,20.9,36.4,49,32.7,46.6,38.4,13.8,46.3,54.9,46.6,54,49.4,28,1592,3126,808,297,1247,3980
2015-16,2015,7,Region 5,39.9,57.1,38.1,44.6,41.9,27.8,37.2,52.8,31.3,38.4,38.9,22.4,42.6,61.3,44.8,50.8,44.9,33.3,1279,4997,5194,3114,4056,2296
2015-16,2015,7,Region 6,33.5,58.2,27.1,41.4,47,22.8,28.5,52.1,23.7,38,40.2,18,38.6,64.2,30.5,44.8,53.9,27.6,4605,5340,4965,1546,1011,1333
2015-16,2015,7,Region 7,30.1,56.5,32.7,42.9,40.1,26.8,23.5,50.2,26.3,38.4,35.2,19.8,36.8,62.8,39,47.4,45,33.7,273,619,5146,2388,2518,4771
2015-16,2015,7,Region 8,37.3,51.8,30.2,46.9,42.6,25.5,33.5,45.9,23.9,42.3,35.3,19.6,41,57.7,36.5,51.6,49.9,31.4,5439,2925,1586,4749,2336,1547
2015-16,2015,7,Region 9,41.9,60.8,29.6,53.3,44.4,23.6,39,58,26.5,49.9,38.9,20.4,44.7,63.7,32.7,56.6,49.9,26.9,5195,3777,4963,3703,4634,4320
2015-16,2015,8,National,50,62.2,38.3,51.7,40.6,32.7,44.6,58.7,34.2,45.7,34.9,27.8,55.3,65.7,42.3,57.7,46.3,37.7,663,1843,3627,1681,5445,3200
2015-16,2015,8,Region 1,49.5,55.3,40.8,45.3,48,35.9,45.2,51.5,33.5,42.2,42.3,32.4,53.8,59,48.1,48.4,53.8,39.4,4785,4922,2902,643,271,3105
2015-16,2015,8,Region 10,39.4,61.2,39.8,47.7,44.4,36.8,36,57.5,35.1,41.2,40.7,30.4,42.8,64.8,44.5,54.2,48.1,43.2,4531,3988,313,2342,4026,4191
2015-16,2015,8,Region 2,43.4,61.9,39.9,48.9,39.2,27.7,37.2,58,34.7,44,36.3,24.7,49.7,65.9,45.1,53.9,42.1,30.7,4674,437,3609,5350,5234,1156
2015-16,2015,8,Region 3,41.3,66.7,45.8,50.6,44.9,21.5,36.9,60.4,40,43.3,38.9,18.2,45.8,73,51.5,57.9,50.8,24.8,3489,3084,4520,350,974,2671
2015-16,2015,8,Region 4,40.3,63.3,42.9,53.6,45.5,36.4,35.5,58.5,38.7,50.9,41.5,32.5,45.2,68.2,47.2,56.3,49.4,40.4,4929,519,3841,628,2287,369
2015-16,2015,8,Region 5,41.1,58.7,37.8,50,46.7,31,35.1,55.9,32.7,47.2,40.4,26.2,47.1,61.6,42.9,52.8,52.9,35.8,5125,330,2316,900,1235,4658
2015-16,2015,8,Region 6,34.1,57.2,33.3,57.7,46.8,29.6,27.7,52.7,26.5,53.2,39.5,24.1,40.5,61.7,40,62.2,54.1,35,4836,4902,1972,4657,2815,1794
2015-16,2015,8,Region 7,39.4,58.2,39.6,62.4,62,35.9,33.1,52,33.4,58.6,55.3,32,45.8,64.4,45.9,66.2,68.6,39.8,1547,5125,3461,518,3698,4839
2015-16,2015,8,Region 8,41.8,58.2,33.6,52.9,40.1,36.1,38.4,54.3,29.9,50.2,36.4,29.3,45.2,62.1,37.4,55.6,43.8,42.8,2065,4868,4491,1237,2042,1744
2015-16,2015,8,Region 9,40.4,60.8,32.1,45.4,47.9,28.4,37.4,56.4,27.9,42.2,43.6,23.5,43.3,65.2,36.2,48.5,52.1,33.3,4290,485,5451,2948,3355,351
2015-16,2015,9,National,34.9,55.8,39.1,55.5,53.2,30,32,49.7,34.1,50.6,50,22.7,37.7,61.8,44.1,60.5,56.5,37.3,5305,3995,3713,1497,4442,5155
2015-16,2015,9,Region 1,46.8,59.8,46.3,46.1,52.1,27.1,43.8,56.8,42.7,41.3,48.9,22.4,49.8,62.8,49.9,51,55.3,31.8,3800,5031,4642,3070,1156,2008
2015-16,2015,9,Region 10,42.8,63,34.6,51.9,48.5,28.2,38.6,59.1,29.4,46.3,42.7,23.8,47,66.9,39.7,57.5,54.3,32.5,2651,4173,2061,3897,2778,3247
2015-16,2015,9,Region 2,39.9,52.1,36.5,48.2,37.6,29.9,37.1,47.9,33.8,41,34.9,23.7,42.6,56.4,39.2,55.4,40.4,36.1,5378,2910,3868,4763,286,1906
2015-16,2015,9,Region 3,45.7,61.5,42.2,49.5,50.6,32.1,40.5,59,39.1,43.6,44.5,26.2,51,64,45.3,55.3,56.8,38.1,738,2596,326,2102,1873,3046
2015-16,2015,9,Region 4,36.9,68.2,37.8,50.2,40.4,28.4,32.9,62.5,31.4,44,35.7,22.1,41,74,44.2,56.5,45.2,34.7,4179,2177,2091,5403,901,3982
2015-16,2015,9,Region 5,48.4,66.5,35.7,52.3,51,34.4,41.4,61.9,28.4,49.2,46.8,28.2,55.3,71,42.9,55.4,55.1,40.6,1665,626,4672,5249,3488,1952
2015-16,2015,9,Region 6,42,60.3,37.3,51.2,43.4,25.7,38.7,57.5,32.5,44,39.7,19.5,45.3,63.1,42.1,58.4,47.1,31.9,4019,5249,5179,1730,3407,639
2015-16,2015,9,Region 7,44.1,57.2,36.5,51.7,50.4,31.3,40.1,52.4,29.4,44.6,44.8,25,48.2,62,43.6,58.9,55.9,37.7,1728,1981,2603,505,2983,2476
2015-16,2015,9,Region 8,46.5,60.4,30.8,59.4,46.2,32.3,39.7,53.7,25.3,51.9,39.7,26.3,53.3,67.1,36.4,66.8,52.8,38.3,3665,3267,1704,1659,2558,2152
2015-16,2015,9,Region 9,47.6,53.9,35,41.5,48.7,33.6,44.1,48.3,27.6,36.8,43.4,30.2,51.1,59.6,42.4,46.1,54.1,37,613,1449,711,1096,825,3546
2015-16,2015,10,National,45.6,61.3,31.7,53.1,39.2,36.6,39.8,55.8,28.2,49.4,35.6,29.3,51.4,66.7,35.2,56.7,42.8,43.9,1316,1207,3101,3286,3137,5155
2015-16,2015,10,Region 1,44.6,59.9,39.8,56.2,45.3,29.2,41.5,55,34.4,53.5,39.7,24.7,47.7,64.9,45.1,59,50.8,33.7,5067,5431,2086,2227,5066,4108
2015-16,2015,10,Region 10,47.9,62.7,39.7,52,54.8,31.4,42.9,58.7,35.6,46.6,51.8,28,52.9,66.7,43.7,57.4,57.7,34.9,1388,3933,1433,2876,5156,1728
2015-16,2015,10,Region 2,38.6,53.1,33.6,46.2,46.9,33.4,32.1,49.4,27.2,39.6,42.9,27.7,45.1,56.8,39.9,52.7,50.8,39.2,5281,569,4929,1674,2041,435
2015-16,2015,10,Region 3,46.6,61.6,38.7,48.7,42.9,35.1,39.5,55.9,32,42.5,39.2,28.4,53.6,67.3,45.5,54.9,46.6,41.8,4482,5146,4075,3304,4875,2603
2015-16,2015,10,Region 4,41.3,60,38.9,56.1,43.7,29.9,35.3,53.2,35,49.8,40.4,22.7,47.3,66.9,42.9,62.4,47.1,37.1,5129,2577,534,2439,4086,5088
2015-16,2015,10,Region 5,41.8,59.1,40.9,48.5,48.9,34.2,35.7,52.1,37.1,44.1,45,27.4,47.8,66.1,44.7,52.9,52.8,40.9,2124,1598,2837,2608,2314,5319
2015-16,2015,10,Region 6,41.6,60.3,37.2,52.6,50.5,34.2,37.6,53.2,33,47.5,46.4,28.5,45.7,67.4,41.4,57.6,54.7,39.9,2254,2782,836,3995,1668,5007
2015-16,2015,10,Region 7,42.9,54.8,46.6,41.3,42.1,30.4,35.6,47.5,42.8,35.4,36.9,26.5,50.3,62,50.3,47.3,47.2,34.3,318,3145,4058,4138,2399,998
2015-16,2015,10,Region 8,48.1,67.3,41.5,50.1,49.9,34.9,41.6,64.3,36.8,46.9,42.5,31.1,54.6,70.2,46.3,53.2,57.4,38.8,1701,5208,968,4138,345,2586
2015-16,2015,10,Region 9,44.8,70.5,33.5,51.5,48.9,33.6,37.4,65.2,26.9,46.4,41.4,29.4,52.2,75.9,40.2,56.6,56.3,37.9,4695,3708,2972,2307,4316,2866
2015-16,2015,11,National,45.5,65.1,43.8,48.7,49.1,27.5,42,61.5,36.5,41.5,43,20.8,49,68.7,51.2,55.8,55.1,34.2,4449,4703,4877,3572,3347,870
2015-16,2015,11,Region 1,47.8,60.2,34.4,48.5,40,30.4,44.6,57.2,31.7,44.9,36.4,24.1,51.1,63.1,37.2,52.1,43.6,36.7,4609,3814,963,5247,4879,2136
2015-16,2015,11,Region 10,45.1,53.5,32.7,52.7,44.9,35,38.1,47.6,25.8,46.9,42,27.8,52.1,59.5,39.6,58.4,47.8,42.2,4829,1962,1522,1728,4180,3337
2015-16,2015,11,Region 2,36.1,57.2,39.6,48.8,42.4,21.6,32.9,51,33.9,45.7,36.8,18.1,39.2,63.3,45.2,51.8,48.1,25,5418,2267,2780,5215,5076,5330
2015-16,2015,11,Region 3,51.9,61.4,38.9,54.2,52.5,39.3,46.8,57.1,35.1,49.9,45.4,34.5,56.9,65.8,42.6,58.5,59.5,44.1,413,3548,3832,858,1451,4791
2015-16,2015,11,Region 4,45.5,57.9,46.2,51,47.1,35.4,42.6,52.9,43.3,46.4,41.5,32.1,48.3,62.9,49.1,55.5,52.7,38.6,5144,5078,650,2394,4512,2173
2015-16,2015,11,Region 5,41.5,67.9,40,49,50.4,33.5,34.1,61.9,36.2,43,47.2,26.4,49,73.8,43.7,54.9,53.5,40.6,2604,2019,1879,1297,4669,410
2015-16,2015,11,Region 6,44.8,57.4,34.7,48,52,30.9,39.4,53.5,29.9,41.3,45.4,26.6,50.1,61.4,39.4,54.6,58.6,35.2,3315,1362,1276,2218,3584,3385
2015-16,2015,11,Region 7,38.9,69.2,36.5,56,50.3,35.9,33.1,64.5,32.1,51.6,46.7,32.1,44.6,74,41,60.4,53.9,39.6,3168,3174,4081,1668,5243,1339
2015-16,2015,11,Region 8,44.2,61.9,32.4,43.9,51.4,32.8,41.3,58.2,26.2,39,47.8,30.3,47,65.6,38.7,48.9,55,35.4,491,1131,3741,1139,3678,4864
2015-16,2015,11,Region 9,38.5,61.4,46.3,49.7,42.4,31,31.5,57.7,42.6,44.6,37.7,26.3,45.5,65.1,50.1,54.8,47,35.6,1937,3739,3105,5012,4245,3689
2015-16,2015,12,National,40.7,57.3,46.8,51.4,43.1,33.4,33.6,52.7,41,47.6,40,28.1,47.9,61.9,52.5,55.1,46.1,38.8,2768,3601,3727,1223,4528,1230
2015-16,2015,12,Region 1,41.6,62.7,36.1,54.1,43.2,26.1,35.4,55.7,31.9,50.7,39.2,21.5,47.8,69.8,40.4,57.6,47.1,30.6,5451,1207,983,2961,5303,2197
2015-16,2015,12,Region 10,45.5,68,35.2,48.5,45,25,39.8,60.8,30.7,41,42.1,18.4,51.1,75.2,39.6,55.9,47.9,31.6,4881,4163,1091,2849,405,2568
2015-16,2015,12,Region 2,33.9,61.9,37.5,49.7,43.8,30,30.3,57,33.2,42.6,39.9,25.4,37.5,66.8,41.9,56.7,47.6,34.5,254,1945,3778,2742,1166,1293
2015-16,2015,12,Region 3,46.7,56.5,37.6,53.6,47.3,28.6,42.9,50.2,31.1,47.8,43.9,21.6,50.5,62.7,44.2,59.3,50.7,35.7,1411,2120,2936,4392,1228,2172
2015-16,2015,12,Region 4,42.4,69.3,41.5,48.8,46.7,35.5,38.6,66.6,35,44.8,42.1,29.1,46.3,72,48,52.8,51.3,42,4392,2266,3468,2044,3945,1346
2015-16,2015,12,Region 5,45.8,66.5,37.1,49.8,46.1,27.8,42.2,62.4,30.3,47,42.3,21,49.3,70.5,43.9,52.7,49.9,34.7,2483,2557,3112,2461,1139,1999
2015-16,2015,12,Region 6,40,68.3,39.8,48.3,44.2,30.7,35.6,61.5,36.5,45.5,37.8,25.4,44.4,75.2,43.1,51.1,50.7,36.1,5184,3944,3730,5389,4991,2170
2015-16,2015,12,Region 7,49.6,64.7,43.5,57.1,49.9,29.9,45.6,62.1,37.1,50.3,47.2,25.1,53.5,67.4,49.9,63.8,52.7,34.7,5419,4926,2117,1919,2040,3562
2015-16,2015,12,Region 8,43.5,64.5,42.1,53.1,36.4,36.5,39.1,57.4,36.7,46.8,29.4,31.9,47.8,71.7,47.5,59.4,43.3,41,675,336,2993,5448,3098,1591
2015-16,2015,12,Region 9,43.9,51.5,33.9,57.6,48.2,31.4,37,48.1,30.6,54,41,25,50.8,55,37.1,61.3,55.5,37.8,1329,5281,2988,4143,3549,2044
2016-17,2016,1,National,20.5,33.1,11.4,27.1,16.7,1,14,28.7,6.5,21.7,11.5,0,27,37.6,16.2,32.5,21.8,5.9,624,691,5229,2019,4931,3861
2016-17,2016,1,Region 1,15.7,32.4,16.4,17,13.9,7,8.3,26.2,11.7,9.7,8,1.7,23.1,38.6,21,24.4,19.9,12.4,546,4812,3282,4491,1967,3017
