location_abbr,location,subgroup_cat,subgroup,depression_within_3_months_birth,anxiety_within_3_months_birth,binge_drinking_within_3_months_birth,alcohol_use_within_3_months_birth
AR,Arkansas,Prenatal care,Later or no care,18.4,26.8,6.6,8.8
AZ,Arizona,Age group,25-34,6.9,,4.2,4.7
AZ,Arizona,Age group,35 or older,,19.9,4.3,14
AZ,Arizona,Age group,Under 25,22.2,,3.8,8.5
AZ,Arizona,Birth history,First birth,11.1,25,4.7,
AZ,Arizona,Birth history,Previous birth,15.1,18.6,3,12.3
AZ,Arizona,Insurance type,Private,9,12.7,8.2,8.8
AZ,Arizona,Insurance type,Public,18.6,28.5,2.8,8.1
AZ,Arizona,Insurance type,Uninsured,16.1,24.4,2.7,7.6
AZ,Arizona,Prenatal care,Early care,20.2,21.5,2.5,13.9
AZ,Arizona,Prenatal care,Later or no care,13.9,21,,12.5
CA,California,Age group,25-34,,18.7,4,14.8
CA,California,Age group,35 or older,17.7,19.2,9.2,10.8
CA,California,Age group,Under 25,20.7,,2.1,11.9
CA,California,Birth history,First birth,17.6,25.2,1.5,8.3
CA,California,Birth history,Previous birth,,22.6,4.2,18.8
CA,California,Insurance type,Private,9,20.4,8.9,11.5
CA,California,Insurance type,Public,28.4,24.3,5.3,9.1
CA,California,Insurance type,Uninsured,16.3,25.7,4.4,10.7
CA,California,Prenatal care,Early care,10,13.8,9.5,10.6
CA,California,Prenatal care,Later or no care,14.8,26.3,3,8.9
CO,Colorado,Age group,25-34,9.1,20.8,4.8,14.4
CO,Colorado,Age group,35 or older,6.9,18.9,2.6,10.3
CO,Colorado,Age group,Under 25,19.4,20.2,0,
CO,Colorado,Birth history,First birth,6.6,15.3,3.7,9.9
CO,Colorado,Birth history,Previous birth,13.1,13.8,4.5,8.3
CO,Colorado,Insurance type,Private,4.5,15.5,3.7,14
CO,Colorado,Insurance type,Public,17.5,30.8,0.6,11.9
CO,Colorado,Insurance type,Uninsured,19.5,19.5,4.4,2
CO,Colorado,Prenatal care,Early care,8.6,14.9,2,9
CO,Colorado,Prenatal care,Later or no care,15.1,19.2,0.5,5.8
CT,Connecticut,Age group,25-34,17,24.7,5.7,9.3
CT,Connecticut,Age group,35 or older,15.8,25.6,5,7
CT,Connecticut,Age group,Under 25,15.1,29.7,,13.5
CT,Connecticut,Birth history,First birth,17.8,23.2,3.9,10.9
CT,Connecticut,Birth history,Previous birth,16,19.2,7.6,7.3
CT,Connecticut,Insurance type,Private,16.7,10.5,4.2,12.2
CT,Connecticut,Insurance type,Public,18.1,21.9,1.2,4.4
CT,Connecticut,Insurance type,Uninsured,16.2,21.4,6.2,10.6
CT,Connecticut,Prenatal care,Early care,11.2,19.9,4.7,15.9
CT,Connecticut,Prenatal care,Later or no care,22.3,24.8,3.3,7.4
DC,District of Columbia,Age group,25-34,14,,4.7,12.9
DC,District of Columbia,Age group,35 or older,15.3,18.9,1.2,12.8
DC,District of Columbia,Age group,Under 25,22.6,28.5,1.5,10.9
DC,District of Columbia,Birth history,First birth,15.1,24.9,6.6,10.5
DC,District of Columbia,Birth history,Previous birth,7.4,19.2,5.9,11.6
DC,District of Columbia,Insurance type,Private,8.3,16.7,5.1,10.8
DC,District of Columbia,Insurance type,Public,17.8,17.6,4.2,2.7
DC,District of Columbia,Insurance type,Uninsured,19,28,6.4,10.1
DC,District of Columbia,Prenatal care,Early care,11.7,22.1,6.7,10
DC,District of Columbia,Prenatal care,Later or no care,23.2,24.6,0.5,8.6
DE,Delaware,Age group,25-34,15.3,23,3.5,13.7
DE,Delaware,Age group,35 or older,7.4,22.4,4.3,
DE,Delaware,Age group,Under 25,22.5,22.1,1.4,9.1
DE,Delaware,Birth history,First birth,17.8,20.6,5.2,9.6
DE,Delaware,Birth history,Previous birth,,13.9,4,12.2
DE,Delaware,Insurance type,Private,12,18.9,5.4,13.2
DE,Delaware,Insurance type,Public,21.6,24.6,1.5,8.3
DE,Delaware,Insurance type,Uninsured,,22.6,6.4,
DE,Delaware,Prenatal care,Early care,,7.9,,9
DE,Delaware,Prenatal care,Later or no care,14.8,22.1,4.7,11.3
FL,Florida,Age group,25-34,,22.9,3.3,18.7
FL,Florida,Age group,35 or older,16.9,22.7,5.9,12.1
FL,Florida,Age group,Under 25,25.3,34.3,2.9,15.1
FL,Florida,Birth history,First birth,12.1,20,8.4,9.8
FL,Florida,Birth history,Previous birth,16.8,21.3,4.5,6.5
FL,Florida,Insurance type,Private,16.6,21.9,8,13.3
FL,Florida,Insurance type,Public,23.4,33.6,6.1,9.8
FL,Florida,Insurance type,Uninsured,23.5,28.6,7.5,11.4
FL,Florida,Prenatal care,Early care,12.3,23.3,6.4,
FL,Florida,Prenatal care,Later or no care,20.3,,,8.4
GA,Georgia,Age group,25-34,16.2,24.2,,15.4
GA,Georgia,Age group,35 or older,15.3,19.1,7,9.1
GA,Georgia,Age group,Under 25,23.2,28.3,5.4,12.2
GA,Georgia,Birth history,First birth,12.5,18.2,6.1,13.1
GA,Georgia,Birth history,Previous birth,18.2,21.9,,
GA,Georgia,Insurance type,Private,14.6,14.1,12.2,14.2
GA,Georgia,Insurance type,Public,22.1,28.8,2.8,12.5
GA,Georgia,Insurance type,Uninsured,22.2,25.9,6.3,7.3
GA,Georgia,Prenatal care,Early care,15.2,15.3,8.7,15.9
GA,Georgia,Prenatal care,Later or no care,,27.9,7.5,10.2
HI,Hawaii,Age group,25-34,13.9,16.3,4.3,13.2
HI,Hawaii,Age group,35 or older,18.6,,5.5,6.6
HI,Hawaii,Age group,Under 25,19.3,21.8,1.4,
HI,Hawaii,Birth history,First birth,11.6,14.3,4.4,9.5
HI,Hawaii,Birth history,Previous birth,13.2,17.5,7,
HI,Hawaii,Insurance type,Private,12.5,11.4,,15.4
HI,Hawaii,Insurance type,Public,24,24.7,,17.8
HI,Hawaii,Insurance type,Uninsured,20.4,21.9,4.6,11.1
HI,Hawaii,Prenatal care,Early care,10,20,7.7,
HI,Hawaii,Prenatal care,Later or no care,17.5,29.9,4.6,10
IA,Iowa,Age group,25-34,18.1,22.5,8.1,14.1
IA,Iowa,Age group,35 or older,12.6,20.7,4.3,10.4
IA,Iowa,Age group,Under 25,20.5,,4.2,7.7
IA,Iowa,Birth history,First birth,13.3,15.3,5.8,11.2
IA,Iowa,Birth history,Previous birth,14,19.1,6.6,9
IA,Iowa,Insurance type,Private,15.3,27.6,2.8,9
IA,Iowa,Insurance type,Public,23.5,25.1,2,10.3
IA,Iowa,Insurance type,Uninsured,17,22.8,6.7,10.3
IA,Iowa,Prenatal care,Early care,14.1,23.1,4.2,10.8
IA,Iowa,Prenatal care,Later or no care,18.7,34.5,7.1,9.7
ID,Idaho,Age group,25-34,20.6,25.7,6.9,13.3
ID,Idaho,Age group,35 or older,12.8,,,5.3
ID,Idaho,Age group,Under 25,24.9,21.2,2.9,7.8
ID,Idaho,Birth history,First birth,16,16.4,2.9,15.3
ID,Idaho,Birth history,Previous birth,8.2,18.5,,5.3
ID,Idaho,Insurance type,Private,12,18.4,4.2,12.5
ID,Idaho,Insurance type,Public,19,24.2,5.1,8.4
ID,Idaho,Insurance type,Uninsured,13.5,26.9,,6.9
ID,Idaho,Prenatal care,Early care,18.3,22.7,5.2,13.5
ID,Idaho,Prenatal care,Later or no care,19,25,2.1,8.4
IL,Illinois,Age group,25-34,9.8,14.8,1.1,9.2
IL,Illinois,Age group,35 or older,6.9,17.4,3.9,11.7
IL,Illinois,Age group,Under 25,18.3,22.3,,9
IL,Illinois,Birth history,First birth,17.4,,4.6,8.7
IL,Illinois,Birth history,Previous birth,6.8,18.3,3.8,9.3
IL,Illinois,Insurance type,Private,7.1,11.2,4.5,10.3
IL,Illinois,Insurance type,Public,18.8,25.5,4.2,7.4
IL,Illinois,Insurance type,Uninsured,16.4,20.1,3,10.2
IL,Illinois,Prenatal care,Early care,9.2,,3.2,13.6
IL,Illinois,Prenatal care,Later or no care,15.9,21.1,2.1,11.2
IN,Indiana,Age group,25-34,19,19.2,7.1,8.6
IN,Indiana,Age group,35 or older,18.9,20.5,7.1,7.3
IN,Indiana,Age group,Under 25,21.8,20.8,8.6,10.7
IN,Indiana,Birth history,First birth,17,,,13.2
IN,Indiana,Birth history,Previous birth,15.3,21.4,7.8,
IN,Indiana,Insurance type,Private,11.4,16.3,3.8,9.3
IN,Indiana,Insurance type,Public,16,22.1,2.3,8.9
IN,Indiana,Insurance type,Uninsured,21.5,28.1,2.2,3.8
IN,Indiana,Prenatal care,Early care,,19.6,6.3,11.5
IN,Indiana,Prenatal care,Later or no care,26.7,27,3.6,6.3
KS,Kansas,Age group,25-34,16,20.2,7.8,10.2
KS,Kansas,Age group,35 or older,16.5,24.6,8.2,14.2
KS,Kansas,Age group,Under 25,21.9,31.3,10.4,11.4
KS,Kansas,Birth history,First birth,18.2,17.8,8,15.1
KS,Kansas,Birth history,Previous birth,20.9,14,5.3,16.2
KS,Kansas,Insurance type,Private,13.3,16.2,4.9,8
KS,Kansas,Insurance type,Public,23.2,27.4,4.7,12.8
KS,Kansas,Insurance type,Uninsured,23.2,27.3,5.5,10.6
KS,Kansas,Prenatal care,Early care,13.3,13.7,9,
KS,Kansas,Prenatal care,Later or no care,24.2,31.2,5.8,11.3
KY,Kentucky,Age group,25-34,13,14.4,2.8,12.9
KY,Kentucky,Age group,35 or older,10.8,18.6,5.4,12.1
KY,Kentucky,Age group,Under 25,21.3,18.8,7,12.4
KY,Kentucky,Birth history,First birth,15.4,13.5,8.4,10.3
KY,Kentucky,Birth history,Previous birth,11.2,15.2,8.6,
KY,Kentucky,Insurance type,Private,9.5,23.8,4.3,8.3
KY,Kentucky,Insurance type,Public,,25.1,5.7,13.5
KY,Kentucky,Insurance type,Uninsured,20.8,25.5,3.2,7.3
KY,Kentucky,Prenatal care,Early care,13.1,22,6.6,8
KY,Kentucky,Prenatal care,Later or no care,19,,1,9.9
LA,Louisiana,Age group,25-34,,15.7,6.6,9.1
LA,Louisiana,Age group,35 or older,14.8,9.3,4.6,11.6
LA,Louisiana,Age group,Under 25,19.8,25.6,6,9.7
LA,Louisiana,Birth history,First birth,12.8,25,9.2,7.9
LA,Louisiana,Birth history,Previous birth,14.3,13.1,4.7,9.8
LA,Louisiana,Insurance type,Private,8.1,14.8,4.5,11.4
LA,Louisiana,Insurance type,Public,19.3,32.7,4.3,5.8
LA,Louisiana,Insurance type,Uninsured,20,20.5,3.5,11.2
LA,Louisiana,Prenatal care,Early care,17.5,16.6,4.3,16.6
LA,Louisiana,Prenatal care,Later or no care,24.1,18.2,4.5,10.7
MA,Massachusetts,Age group,25-34,11.7,15.6,4.4,15.6
MA,Massachusetts,Age group,35 or older,13.2,19.6,3.3,
MA,Massachusetts,Age group,Under 25,17.8,27.3,,7.9
MA,Massachusetts,Birth history,First birth,14.9,20.1,2.1,12.6
MA,Massachusetts,Birth history,Previous birth,13.2,20.1,2.4,7.1
MA,Massachusetts,Insurance type,Private,11.3,20.7,6.4,11.8
MA,Massachusetts,Insurance type,Public,15.8,25.7,2.1,7.1
MA,Massachusetts,Insurance type,Uninsured,15.9,16.8,2.8,8.1
MA,Massachusetts,Prenatal care,Early care,13,16.5,1,9.5
MA,Massachusetts,Prenatal care,Later or no care,17.2,17.7,1.4,14
MD,Maryland,Age group,25-34,15.9,17.4,6.8,12.2
MD,Maryland,Age group,35 or older,,23.2,5.1,11
MD,Maryland,Age group,Under 25,20.9,18.5,4.9,7.4
MD,Maryland,Birth history,First birth,15.2,18.5,3,14.8
MD,Maryland,Birth history,Previous birth,13.7,19.4,6.1,3.3
MD,Maryland,Insurance type,Private,13.7,23.6,3.7,
MD,Maryland,Insurance type,Public,19.5,27.6,5.1,8
MD,Maryland,Insurance type,Uninsured,23.5,26,1.4,8.6
MD,Maryland,Prenatal care,Early care,15.3,14.8,7.2,19
MD,Maryland,Prenatal care,Later or no care,,21.5,4.4,11.7
ME,Maine,Age group,25-34,15.7,24.6,6.1,7.5
ME,Maine,Age group,35 or older,15.7,12.5,3.5,17.5
ME,Maine,Age group,Under 25,18.1,30.4,3,11.1
ME,Maine,Birth history,First birth,11.1,24.8,2.8,10.8
ME,Maine,Birth history,Previous birth,14.2,19.3,4.5,11.4
ME,Maine,Insurance type,Private,12.7,9.6,7,10.5
ME,Maine,Insurance type,Public,23.5,20.7,2.2,8.2
ME,Maine,Insurance type,Uninsured,,23.9,4,5.6
ME,Maine,Prenatal care,Early care,13.7,13.7,4,10
ME,Maine,Prenatal care,Later or no care,21.6,23.3,5.9,11.4
MI,Michigan,Age group,25-34,18.9,,6.3,17.2
MI,Michigan,Age group,35 or older,12,20.6,5.7,8.7
MI,Michigan,Age group,Under 25,19,20,1.8,14
MI,Michigan,Birth history,First birth,13,22,5.1,14.2
MI,Michigan,Birth history,Previous birth,13.7,17.3,8,9.6
MI,Michigan,Insurance type,Private,14.5,23.1,4.9,10.2
MI,Michigan,Insurance type,Public,18.3,17.5,0,10.9
MI,Michigan,Insurance type,Uninsured,16.4,20.7,0.8,5.9
MI,Michigan,Prenatal care,Early care,12.2,15.1,6.2,12.8
MI,Michigan,Prenatal care,Later or no care,17.8,25.4,3.3,8.7
MN,Minnesota,Age group,25-34,17.8,27.9,3.7,8.5
MN,Minnesota,Age group,35 or older,19.3,27.4,3.6,9.2
MN,Minnesota,Age group,Under 25,23.5,32,7.2,7.4
MN,Minnesota,Birth history,First birth,12.3,20.1,6.9,9.4
MN,Minnesota,Birth history,Previous birth,17.3,20,4.8,14.5
MN,Minnesota,Insurance type,Private,10.2,14.8,3.8,9.5
MN,Minnesota,Insurance type,Public,19.6,,1.3,9.3
MN,Minnesota,Insurance type,Uninsured,19.2,19.9,2.8,12.4
MN,Minnesota,Prenatal care,Early care,13.3,24.7,3.2,8.2
MN,Minnesota,Prenatal care,Later or no care,24.5,26.9,2.3,14.5
MO,Missouri,Age group,25-34,14,20.5,,13.4
MO,Missouri,Age group,35 or older,13.1,15.2,4.4,6.9
MO,Missouri,Age group,Under 25,19,19.2,0.3,13.1
MO,Missouri,Birth history,First birth,12.2,21.8,6,11.1
MO,Missouri,Birth history,Previous birth,15.1,22.3,5.6,17.4
MO,Missouri,Insurance type,Private,11.7,19.9,4.9,12.9
MO,Missouri,Insurance type,Public,27.5,24.6,1.5,13.1
MO,Missouri,Insurance type,Uninsured,21.5,32.6,5.6,11.3
MO,Missouri,Prenatal care,Early care,,17.1,8.6,9.8
MO,Missouri,Prenatal care,Later or no care,23.1,33.8,3.8,10.4
MS,Mississippi,Age group,25-34,13.8,14.1,2,8.4
MS,Mississippi,Age group,35 or older,18.2,16.9,4.5,10.8
MS,Mississippi,Age group,Under 25,20.9,20.3,2.7,10.4
MS,Mississippi,Birth history,First birth,7.8,15.1,6.2,5.5
MS,Mississippi,Birth history,Previous birth,13.8,8.2,4.8,11.4
MS,Mississippi,Insurance type,Private,10.4,9.5,4.2,9.3
MS,Mississippi,Insurance type,Public,20.4,13.1,,7.2
MS,Mississippi,Insurance type,Uninsured,,19.6,0.7,8.6
MS,Mississippi,Prenatal care,Early care,,15.3,3.5,9.6
MS,Mississippi,Prenatal care,Later or no care,13.1,21.4,4,11
MT,Montana,Age group,25-34,10,15.9,6.4,16.4
MT,Montana,Age group,35 or older,18.1,12.1,5.4,
MT,Montana,Age group,Under 25,,28.2,7.6,10.4
MT,Montana,Birth history,First birth,13.3,14.1,6.2,7.1
MT,Montana,Birth history,Previous birth,8.7,15.6,1.3,
MT,Montana,Insurance type,Private,4.3,18.4,7.7,12
MT,Montana,Insurance type,Public,25.7,26.8,4.6,7.7
MT,Montana,Insurance type,Uninsured,22.3,24.3,6.6,10.4
MT,Montana,Prenatal care,Early care,,15.5,6.1,12
MT,Montana,Prenatal care,Later or no care,22.9,27.3,2.9,4.4
NC,North Carolina,Age group,25-34,15.4,20.1,,10.2
NC,North Carolina,Age group,35 or older,19.1,21.5,5.1,6.8
NC,North Carolina,Age group,Under 25,15.9,29.6,3.3,5.1
NC,North Carolina,Birth history,First birth,17.5,17.6,2,
NC,North Carolina,Birth history,Previous birth,17.3,20.4,0,4.8
NC,North Carolina,Insurance type,Private,15.9,16.9,5.8,8.8
NC,North Carolina,Insurance type,Public,17.7,27.7,5.3,9.8
NC,North Carolina,Insurance type,Uninsured,19.7,35,3.9,5
NC,North Carolina,Prenatal care,Early care,,22.7,2.7,15
NC,North Carolina,Prenatal care,Later or no care,20,20,5.5,9.2
ND,North Dakota,Age group,25-34,19.2,23.8,,
ND,North Dakota,Age group,35 or older,10.5,23.5,4.4,14.6
ND,North Dakota,Age group,Under 25,17.4,25.5,1.8,7.9
ND,North Dakota,Birth history,First birth,16.4,17.2,3,13
ND,North Dakota,Birth history,Previous birth,10.7,10.5,5.3,12.8
ND,North Dakota,Insurance type,Private,11.2,13.1,6,15
ND,North Dakota,Insurance type,Public,24.5,23.2,2.3,12
ND,North Dakota,Insurance type,Uninsured,21,25.2,5.5,12.4
ND,North Dakota,Prenatal care,Early care,10.8,16.4,6.6,13.7
ND,North Dakota,Prenatal care,Later or no care,22.2,25.4,2.7,6.3
NE,Nebraska,Age group,25-34,15.5,22.9,5.1,11.9
NE,Nebraska,Age group,35 or older,12.6,19,5.4,14.2
NE,Nebraska,Age group,Under 25,16,18.5,5.4,9.7
NE,Nebraska,Birth history,First birth,21.6,20.8,4.6,14
NE,Nebraska,Birth history,Previous birth,13.7,22,5.5,13
NE,Nebraska,Insurance type,Private,15.5,18.8,7.3,11.8
NE,Nebraska,Insurance type,Public,12.4,29.8,3.6,10.9
NE,Nebraska,Insurance type,Uninsured,,24.2,4.2,13.4
NE,Nebraska,Prenatal care,Early care,12,16.4,4.3,8.5
NE,Nebraska,Prenatal care,Later or no care,26.2,24.8,1.7,9
NH,New Hampshire,Age group,25-34,13,22.6,6.5,11.4
NH,New Hampshire,Age group,35 or older,15.8,26.6,6.3,17
NH,New Hampshire,Age group,Under 25,17.8,22.3,6.4,7.6
NH,New Hampshire,Birth history,First birth,21.4,22.3,,12.3
NH,New Hampshire,Birth history,Previous birth,,24,8.2,8.7
NH,New Hampshire,Insurance type,Private,,20.4,3.9,11.7
NH,New Hampshire,Insurance type,Public,21,20.9,2.7,6.8
NH,New Hampshire,Insurance type,Uninsured,20.7,21.8,,8.7
NH,New Hampshire,Prenatal care,Early care,14.2,,5.6,13.2
NH,New Hampshire,Prenatal care,Later or no care,20.1,24.8,6.7,9
NJ,New Jersey,Age group,25-34,13.3,17.9,2.3,13.5
NJ,New Jersey,Age group,35 or older,12.9,27.3,5.8,12.3
NJ,New Jersey,Age group,Under 25,22.6,27.4,8.4,8.3
NJ,New Jersey,Birth history,First birth,14.5,22.8,6,13.4
NJ,New Jersey,Birth history,Previous birth,19.7,19.4,3.6,11.3
NJ,New Jersey,Insurance type,Private,17,14.1,7.1,12.9
NJ,New Jersey,Insurance type,Public,21.3,28.4,4.7,12.4
NJ,New Jersey,Insurance type,Uninsured,25.1,25.5,7.3,11.7
NJ,New Jersey,Prenatal care,Early care,14.8,17.7,2.9,10.9
NJ,New Jersey,Prenatal care,Later or no care,27.7,23,4.8,12.7
NM,New Mexico,Age group,25-34,,26.7,6.4,12.7
NM,New Mexico,Age group,35 or older,14,20.7,,6.3
NM,New Mexico,Age group,Under 25,20.9,20.2,2.4,9.2
NM,New Mexico,Birth history,First birth,11,16.7,5.7,15.1
NM,New Mexico,Birth history,Previous birth,16.9,15.1,2.9,15.4
NM,New Mexico,Insurance type,Private,11.2,15.8,5.9,8.5
NM,New Mexico,Insurance type,Public,22.2,19.8,2.5,11.6
NM,New Mexico,Insurance type,Uninsured,23,23,,9.7
NM,New Mexico,Prenatal care,Early care,13.6,20,9.4,11
NM,New Mexico,Prenatal care,Later or no care,19.7,24.7,4.1,11.3
NV,Nevada,Age group,25-34,10.9,20,5.4,8.3
NV,Nevada,Age group,35 or older,15.4,24.7,7.4,10.3
NV,Nevada,Age group,Under 25,22,23.7,6.6,8.7
NV,Nevada,Birth history,First birth,16.9,19.6,6.6,6.5
NV,Nevada,Birth history,Previous birth,19.6,15.2,5.5,10.1
NV,Nevada,Insurance type,Private,17.5,17,9.1,16.6
NV,Nevada,Insurance type,Public,23.8,33.4,0.2,11.4
NV,Nevada,Insurance type,Uninsured,22.5,30.9,5,
NV,Nevada,Prenatal care,Early care,,17.6,4.7,6.4
NV,Nevada,Prenatal care,Later or no care,20.6,32.1,8,10.4
NY,New York,Age group,25-34,17.7,16.1,0.9,15.8
NY,New York,Age group,35 or older,15.1,18.5,3.2,11.3
NY,New York,Age group,Under 25,15.3,25.8,3.1,7.3
NY,New York,Birth history,First birth,15.4,22.3,3.4,7.9
NY,New York,Birth history,Previous birth,,12.2,2.4,9.5
NY,New York,Insurance type,Private,9.7,12.5,7.8,10.1
NY,New York,Insurance type,Public,24.6,26.9,4.9,7.5
NY,New York,Insurance type,Uninsured,14.9,,2.3,11.4
NY,New York,Prenatal care,Early care,14,11,,11
NY,New York,Prenatal care,Later or no care,14.4,27.6,3.3,4.6
OH,Ohio,Age group,25-34,17.5,16.5,9.2,11.5
OH,Ohio,Age group,35 or older,13.3,15,6.7,13.9
OH,Ohio,Age group,Under 25,20.4,25.3,4.3,10.4
OH,Ohio,Birth history,First birth,14.6,19.4,5.8,
OH,Ohio,Birth history,Previous birth,13.5,19.9,1.4,7.4
OH,Ohio,Insurance type,Private,9.6,8.4,6.2,8.2
OH,Ohio,Insurance type,Public,16.4,21.3,2.3,9.2
OH,Ohio,Insurance type,Uninsured,24.7,26.4,4.2,14
OH,Ohio,Prenatal care,Early care,16,18.5,5.3,10.9
OH,Ohio,Prenatal care,Later or no care,17.6,21.4,4.3,7.4
OK,Oklahoma,Age group,25-34,16.3,22.2,1.5,6.5
OK,Oklahoma,Age group,35 or older,16.1,23.1,,7.8
OK,Oklahoma,Age group,Under 25,19.1,,2.9,12.8
OK,Oklahoma,Birth history,First birth,14.7,16.4,4.1,7.8
OK,Oklahoma,Birth history,Previous birth,9,24.9,2.5,4.2
OK,Oklahoma,Insurance type,Private,9.5,19.3,3.4,8.9
OK,Oklahoma,Insurance type,Public,19.4,16.4,3.6,11.3
OK,Oklahoma,Insurance type,Uninsured,16.8,25.6,2.5,10.4
OK,Oklahoma,Prenatal care,Early care,13.9,21.2,4.3,12.2
OK,Oklahoma,Prenatal care,Later or no care,17.8,22.1,2.8,5.4
OR,Oregon,Age group,25-34,6.6,17.4,5.2,10.4
OR,Oregon,Age group,35 or older,,19.1,3.1,8
OR,Oregon,Age group,Under 25,18,26,4.4,8.3
OR,Oregon,Birth history,First birth,11.2,16.3,3.9,11.1
OR,Oregon,Birth history,Previous birth,19.2,23.4,3.7,12.3
OR,Oregon,Insurance type,Private,2,9,4.1,10.3
OR,Oregon,Insurance type,Public,24.6,23.4,1.9,7.3
OR,Oregon,Insurance type,Uninsured,17,23.6,1.2,4.3
OR,Oregon,Prenatal care,Early care,10.7,5.5,3.8,4.9
OR,Oregon,Prenatal care,Later or no care,12.6,22.1,1.9,8.7
PA,Pennsylvania,Age group,25-34,14.3,25.2,7.5,7.8
PA,Pennsylvania,Age group,35 or older,17.8,8.9,7.7,9.8
PA,Pennsylvania,Age group,Under 25,22.9,20.4,,12.2
PA,Pennsylvania,Birth history,First birth,15,17.6,,11.1
PA,Pennsylvania,Birth history,Previous birth,19.2,16.8,6.1,12.3
PA,Pennsylvania,Insurance type,Private,10.3,15,8.1,11.7
PA,Pennsylvania,Insurance type,Public,20.3,29.3,4.1,10.6
PA,Pennsylvania,Insurance type,Uninsured,18.5,27,,13.8
PA,Pennsylvania,Prenatal care,Early care,10.3,23,4.8,13.9
PA,Pennsylvania,Prenatal care,Later or no care,18.1,24.2,3.4,15.4
RI,Rhode Island,Age group,25-34,13.5,20.6,2.6,
RI,Rhode Island,Age group,35 or older,17.1,18.8,5.4,10.3
RI,Rhode Island,Age group,Under 25,22.9,20.9,0,7.3
RI,Rhode Island,Birth history,First birth,9.2,20.7,4.6,12.8
RI,Rhode Island,Birth history,Previous birth,,18.2,7.1,15.1
RI,Rhode Island,Insurance type,Private,12.7,14.2,7.5,8.1
RI,Rhode Island,Insurance type,Public,20,23,1.8,9
RI,Rhode Island,Insurance type,Uninsured,,24.3,2.5,4.1
RI,Rhode Island,Prenatal care,Early care,9.6,16.9,7.5,10.4
RI,Rhode Island,Prenatal care,Later or no care,21.3,23.6,2.5,9.7
SC,South Carolina,Age group,25-34,13.7,25.5,3.6,14.7
SC,South Carolina,Age group,35 or older,14.6,13.7,4.3,12.7
SC,South Carolina,Age group,Under 25,19.1,25.1,4.3,11.7
SC,South Carolina,Birth history,First birth,15.4,17.9,6.7,9.6
SC,South Carolina,Birth history,Previous birth,16.4,17.4,6.9,9.2
SC,South Carolina,Insurance type,Private,10.7,15.2,4.2,
SC,South Carolina,Insurance type,Public,18.5,24.8,3.4,10.2
SC,South Carolina,Insurance type,Uninsured,21.1,28.3,0,5.6
SC,South Carolina,Prenatal care,Early care,14.6,15.6,6,10.1
SC,South Carolina,Prenatal care,Later or no care,22.8,27.9,2.5,6.4
SD,South Dakota,Age group,25-34,15,26.3,,10.8
SD,South Dakota,Age group,35 or older,20.4,24.2,4.8,15.8
SD,South Dakota,Age group,Under 25,17.5,25.5,4.1,9.3
SD,South Dakota,Birth history,First birth,16.7,27.6,6.8,15.4
SD,South Dakota,Birth history,Previous birth,18.4,19.5,8.5,10.3
SD,South Dakota,Insurance type,Private,13.8,22.5,7.4,13.5
SD,South Dakota,Insurance type,Public,,27.4,2.1,15.4
SD,South Dakota,Insurance type,Uninsured,20.9,26.6,2.1,5.9
SD,South Dakota,Prenatal care,Early care,,26.8,8.7,10
SD,South Dakota,Prenatal care,Later or no care,21.5,23.7,3.8,13.4
