year,state,state_name,county_name,county_fips,tract_fips,location_id,measure_id,measure_key,measure,estimate,ci_lower,ci_upper,total_population,total_adult_population,longitude,latitude
2023,DC,District of Columbia,Metro County 12,11119,11119000312,11119000312,BPHIGH,high_blood_pressure,High blood pressure,22.3,16.9,27.8,5958,4263,-77.20665205181577,39.17655405122787
2023,DC,District of Columbia,Metro County 12,11119,11119000312,11119000312,ACCESS2,lack_health_insurance,Lack of health insurance,11.2,5.1,17.4,5958,4263,-77.20665205181577,39.17655405122787
2023,DC,District of Columbia,Metro County 12,11119,11119000312,11119000312,OBESITY,obesity,Obesity,29.2,23.8,34.7,5958,4263,-77.20665205181577,39.17655405122787
2023,DC,District of Columbia,Metro County 12,11119,11119000312,11119000312,LPA,physical_inactivity,Physical inactivity,21.7,16.3,27.2,5958,4263,-77.20665205181577,39.17655405122787
2023,DC,District of Columbia,Metro County 12,11136,11136000507,11136000507,CSMOKING,current_smoking,Current smoking,12.4,6.2,18.7,5229,4250,-76.9636782641057,38.17987544052303
2023,DC,District of Columbia,Metro County 12,11136,11136000507,11136000507,DIABETES,diabetes,Diabetes,16.4,13.4,19.5,5229,4250,-76.9636782641057,38.17987544052303
2023,DC,District of Columbia,Metro County 12,11136,11136000507,11136000507,MHLTH,frequent_mental_distress,Frequent mental distress,16.4,14.1,18.7,5229,4250,-76.9636782641057,38.17987544052303
2023,DC,District of Columbia,Metro County 12,11136,11136000507,11136000507,BPHIGH,high_blood_pressure,High blood pressure,33.8,29.9,37.7,5229,4250,-76.9636782641057,38.17987544052303
2023,DC,District of Columbia,Metro County 12,11136,11136000507,11136000507,ACCESS2,lack_health_insurance,Lack of health insurance,12.3,5.3,19.2,5229,4250,-76.9636782641057,38.17987544052303
2023,DC,District of Columbia,Metro County 12,11136,11136000507,11136000507,OBESITY,obesity,Obesity,37.3,32.9,41.8,5229,4250,-76.9636782641057,38.17987544052303
2023,DC,District of Columbia,Metro County 12,11136,11136000507,11136000507,LPA,physical_inactivity,Physical inactivity,23.7,18.1,29.3,5229,4250,-76.9636782641057,38.17987544052303
2023,DC,District of Columbia,Metro County 13,11042,11042000305,11042000305,CSMOKING,current_smoking,Current smoking,5.6,0,12.2,5933,4855,-78.45659404788167,38.348142112605274
2023,DC,District of Columbia,Metro County 13,11042,11042000305,11042000305,DIABETES,diabetes,Diabetes,5.8,3.3,8.3,5933,4855,-78.45659404788167,38.348142112605274
2023,DC,District of Columbia,Metro County 13,11042,11042000305,11042000305,MHLTH,frequent_mental_distress,Frequent mental distress,6,3.9,8.1,5933,4855,-78.45659404788167,38.348142112605274
2023,DC,District of Columbia,Metro County 13,11042,11042000305,11042000305,BPHIGH,high_blood_pressure,High blood pressure,20.1,16.9,23.3,5933,4855,-78.45659404788167,38.348142112605274
2023,DC,District of Columbia,Metro County 13,11042,11042000305,11042000305,ACCESS2,lack_health_insurance,Lack of health insurance,4.2,0,9,5933,4855,-78.45659404788167,38.348142112605274
2023,DC,District of Columbia,Metro County 13,11042,11042000305,11042000305,OBESITY,obesity,Obesity,13.8,11.3,16.2,5933,4855,-78.45659404788167,38.348142112605274
2023,DC,District of Columbia,Metro County 13,11042,11042000305,11042000305,LPA,physical_inactivity,Physical inactivity,18.6,16.5,20.7,5933,4855,-78.45659404788167,38.348142112605274
2023,DC,District of Columbia,Metro County 13,11104,11104000224,11104000224,CSMOKING,current_smoking,Current smoking,23.4,19.2,27.6,11228,9402,-78.19181889859028,37.90173387490213
2023,DC,District of Columbia,Metro County 13,11104,11104000224,11104000224,DIABETES,diabetes,Diabetes,16.5,14.3,18.7,11228,9402,-78.19181889859028,37.90173387490213
2023,DC,District of Columbia,Metro County 13,11104,11104000224,11104000224,MHLTH,frequent_mental_distress,Frequent mental distress,22.6,19,26.2,11228,9402,-78.19181889859028,37.90173387490213
2023,DC,District of Columbia,Metro County 13,11104,11104000224,11104000224,BPHIGH,high_blood_pressure,High blood pressure,40.2,35.8,44.7,11228,9402,-78.19181889859028,37.90173387490213
2023,DC,District of Columbia,Metro County 13,11104,11104000224,11104000224,ACCESS2,lack_health_insurance,Lack of health insurance,11.1,6.4,15.8,11228,9402,-78.19181889859028,37.90173387490213
2023,DC,District of Columbia,Metro County 13,11104,11104000224,11104000224,OBESITY,obesity,Obesity,38.3,33.9,42.8,11228,9402,-78.19181889859028,37.90173387490213
2023,DC,District of Columbia,Metro County 13,11104,11104000224,11104000224,LPA,physical_inactivity,Physical inactivity,34.3,27.8,40.7,11228,9402,-78.19181889859028,37.90173387490213
2023,DC,District of Columbia,Metro County 14,11033,11033000120,11033000120,CSMOKING,current_smoking,Current smoking,9.5,3.7,15.2,2245,1672,-77.29891155231745,39.10925341770053
2023,DC,District of Columbia,Metro County 14,11033,11033000120,11033000120,DIABETES,diabetes,Diabetes,10.7,4.9,16.4,2245,1672,-77.29891155231745,39.10925341770053
2023,DC,District of Columbia,Metro County 14,11033,11033000120,11033000120,MHLTH,frequent_mental_distress,Frequent mental distress,13.7,8.3,19,2245,1672,-77.29891155231745,39.10925341770053
2023,DC,District of Columbia,Metro County 14,11033,11033000120,11033000120,BPHIGH,high_blood_pressure,High blood pressure,27.7,25.4,30,2245,1672,-77.29891155231745,39.10925341770053
2023,DC,District of Columbia,Metro County 14,11033,11033000120,11033000120,ACCESS2,lack_health_insurance,Lack of health insurance,8.7,5.4,12,2245,1672,-77.29891155231745,39.10925341770053
2023,DC,District of Columbia,Metro County 14,11033,11033000120,11033000120,OBESITY,obesity,Obesity,30.5,26.2,34.8,2245,1672,-77.29891155231745,39.10925341770053
2023,DC,District of Columbia,Metro County 14,11033,11033000120,11033000120,LPA,physical_inactivity,Physical inactivity,29.5,24,35,2245,1672,-77.29891155231745,39.10925341770053
2023,DC,District of Columbia,Metro County 14,11102,11102000670,11102000670,CSMOKING,current_smoking,Current smoking,8.5,5.3,11.8,3905,2658,-77.09795535756275,39.032389661855994
2023,DC,District of Columbia,Metro County 14,11102,11102000670,11102000670,DIABETES,diabetes,Diabetes,8.4,3.1,13.6,3905,2658,-77.09795535756275,39.032389661855994
2023,DC,District of Columbia,Metro County 14,11102,11102000670,11102000670,MHLTH,frequent_mental_distress,Frequent mental distress,11.8,6.9,16.6,3905,2658,-77.09795535756275,39.032389661855994
2023,DC,District of Columbia,Metro County 14,11102,11102000670,11102000670,BPHIGH,high_blood_pressure,High blood pressure,21,18.6,23.3,3905,2658,-77.09795535756275,39.032389661855994
2023,DC,District of Columbia,Metro County 14,11102,11102000670,11102000670,ACCESS2,lack_health_insurance,Lack of health insurance,7.7,0.7,14.6,3905,2658,-77.09795535756275,39.032389661855994
2023,DC,District of Columbia,Metro County 14,11102,11102000670,11102000670,OBESITY,obesity,Obesity,30.8,27.4,34.1,3905,2658,-77.09795535756275,39.032389661855994
2023,DC,District of Columbia,Metro County 14,11102,11102000670,11102000670,LPA,physical_inactivity,Physical inactivity,19.3,16.7,21.9,3905,2658,-77.09795535756275,39.032389661855994
2023,DC,District of Columbia,Metro County 14,11126,11126000123,11126000123,CSMOKING,current_smoking,Current smoking,17.7,14.8,20.7,4228,2968,-78.32854783954099,37.094949445873496
2023,DC,District of Columbia,Metro County 14,11126,11126000123,11126000123,DIABETES,diabetes,Diabetes,16.3,12.6,20,4228,2968,-78.32854783954099,37.094949445873496
2023,DC,District of Columbia,Metro County 14,11126,11126000123,11126000123,MHLTH,frequent_mental_distress,Frequent mental distress,23.2,16.2,30.1,4228,2968,-78.32854783954099,37.094949445873496
2023,DC,District of Columbia,Metro County 14,11126,11126000123,11126000123,BPHIGH,high_blood_pressure,High blood pressure,37.6,32.8,42.4,4228,2968,-78.32854783954099,37.094949445873496
2023,DC,District of Columbia,Metro County 14,11126,11126000123,11126000123,ACCESS2,lack_health_insurance,Lack of health insurance,17.7,14,21.4,4228,2968,-78.32854783954099,37.094949445873496
2023,DC,District of Columbia,Metro County 14,11126,11126000123,11126000123,OBESITY,obesity,Obesity,37.5,32.8,42.3,4228,2968,-78.32854783954099,37.094949445873496
2023,DC,District of Columbia,Metro County 14,11126,11126000123,11126000123,LPA,physical_inactivity,Physical inactivity,35.5,29.2,41.9,4228,2968,-78.32854783954099,37.094949445873496
2023,DC,District of Columbia,Metro County 14,11140,11140000002,11140000002,CSMOKING,current_smoking,Current smoking,12.3,8.9,15.7,5351,3995,-78.48589315051213,38.611027757823464
2023,DC,District of Columbia,Metro County 14,11140,11140000002,11140000002,DIABETES,diabetes,Diabetes,12,7.6,16.4,5351,3995,-78.48589315051213,38.611027757823464
2023,DC,District of Columbia,Metro County 14,11140,11140000002,11140000002,MHLTH,frequent_mental_distress,Frequent mental distress,12.7,9.5,15.9,5351,3995,-78.48589315051213,38.611027757823464
2023,DC,District of Columbia,Metro County 14,11140,11140000002,11140000002,BPHIGH,high_blood_pressure,High blood pressure,32.3,28.2,36.4,5351,3995,-78.48589315051213,38.611027757823464
2023,DC,District of Columbia,Metro County 14,11140,11140000002,11140000002,ACCESS2,lack_health_insurance,Lack of health insurance,17,11.8,22.3,5351,3995,-78.48589315051213,38.611027757823464
2023,DC,District of Columbia,Metro County 14,11140,11140000002,11140000002,OBESITY,obesity,Obesity,33.6,27.1,40.1,5351,3995,-78.48589315051213,38.611027757823464
2023,DC,District of Columbia,Metro County 14,11140,11140000002,11140000002,LPA,physical_inactivity,Physical inactivity,28.9,22.8,35,5351,3995,-78.48589315051213,38.611027757823464
2023,DC,District of Columbia,Metro County 15,11110,11110000190,11110000190,CSMOKING,current_smoking,Current smoking,16.6,12.8,20.3,3820,2760,-77.27697781617753,37.83879971448332
2023,DC,District of Columbia,Metro County 15,11110,11110000190,11110000190,DIABETES,diabetes,Diabetes,17.2,14.1,20.3,3820,2760,-77.27697781617753,37.83879971448332
2023,DC,District of Columbia,Metro County 15,11110,11110000190,11110000190,MHLTH,frequent_mental_distress,Frequent mental distress,18.6,12.3,25,3820,2760,-77.27697781617753,37.83879971448332
2023,DC,District of Columbia,Metro County 15,11110,11110000190,11110000190,BPHIGH,high_blood_pressure,High blood pressure,36.6,31.9,41.2,3820,2760,-77.27697781617753,37.83879971448332
2023,DC,District of Columbia,Metro County 15,11110,11110000190,11110000190,ACCESS2,lack_health_insurance,Lack of health insurance,13.1,8,18.1,3820,2760,-77.27697781617753,37.83879971448332
2023,DC,District of Columbia,Metro County 15,11110,11110000190,11110000190,OBESITY,obesity,Obesity,33.2,30.1,36.2,3820,2760,-77.27697781617753,37.83879971448332
2023,DC,District of Columbia,Metro County 15,11110,11110000190,11110000190,LPA,physical_inactivity,Physical inactivity,22.8,17.1,28.6,3820,2760,-77.27697781617753,37.83879971448332
2023,DC,District of Columbia,Metro County 15,11121,11121000216,11121000216,CSMOKING,current_smoking,Current smoking,11.5,6.1,16.8,4475,3639,-78.27341050156392,37.04186292868108
2023,DC,District of Columbia,Metro County 15,11121,11121000216,11121000216,DIABETES,diabetes,Diabetes,4.8,2.5,7.1,4475,3639,-78.27341050156392,37.04186292868108
2023,DC,District of Columbia,Metro County 15,11121,11121000216,11121000216,MHLTH,frequent_mental_distress,Frequent mental distress,14.6,9.6,19.6,4475,3639,-78.27341050156392,37.04186292868108
2023,DC,District of Columbia,Metro County 15,11121,11121000216,11121000216,BPHIGH,high_blood_pressure,High blood pressure,27.3,23.7,30.8,4475,3639,-78.27341050156392,37.04186292868108
2023,DC,District of Columbia,Metro County 15,11121,11121000216,11121000216,ACCESS2,lack_health_insurance,Lack of health insurance,9.6,6.2,13,4475,3639,-78.27341050156392,37.04186292868108
2023,DC,District of Columbia,Metro County 15,11121,11121000216,11121000216,OBESITY,obesity,Obesity,32.7,30.4,35,4475,3639,-78.27341050156392,37.04186292868108
2023,DC,District of Columbia,Metro County 15,11121,11121000216,11121000216,LPA,physical_inactivity,Physical inactivity,29.5,27.4,31.6,4475,3639,-78.27341050156392,37.04186292868108
2023,DC,District of Columbia,Metro County 15,11143,11143000194,11143000194,CSMOKING,current_smoking,Current smoking,1.7,0,8,3660,2882,-77.873365024244407,38.18886576257646
2023,DC,District of Columbia,Metro County 15,11143,11143000194,11143000194,DIABETES,diabetes,Diabetes,6.3,2.6,10,3660,2882,-77.873365024244407,38.18886576257646
2023,DC,District of Columbia,Metro County 15,11143,11143000194,11143000194,MHLTH,frequent_mental_distress,Frequent mental distress,10.9,7.4,14.4,3660,2882,-77.873365024244407,38.18886576257646
2023,DC,District of Columbia,Metro County 15,11143,11143000194,11143000194,BPHIGH,high_blood_pressure,High blood pressure,23.4,20.6,26.2,3660,2882,-77.873365024244407,38.18886576257646
2023,DC,District of Columbia,Metro County 15,11143,11143000194,11143000194,ACCESS2,lack_health_insurance,Lack of health insurance,7.5,3.4,11.7,3660,2882,-77.873365024244407,38.18886576257646
2023,DC,District of Columbia,Metro County 15,11143,11143000194,11143000194,OBESITY,obesity,Obesity,27.5,22.8,32.2,3660,2882,-77.873365024244407,38.18886576257646
2023,DC,District of Columbia,Metro County 15,11143,11143000194,11143000194,LPA,physical_inactivity,Physical inactivity,20.9,14.4,27.4,3660,2882,-77.873365024244407,38.18886576257646
2023,DC,District of Columbia,Metro County 15,11147,11147000434,11147000434,CSMOKING,current_smoking,Current smoking,20.8,17.4,24.2,6410,5340,-76.83909692876041,38.51934748608619
2023,DC,District of Columbia,Metro County 15,11147,11147000434,11147000434,DIABETES,diabetes,Diabetes,11.5,8.5,14.5,6410,5340,-76.83909692876041,38.51934748608619
2023,DC,District of Columbia,Metro County 15,11147,11147000434,11147000434,MHLTH,frequent_mental_distress,Frequent mental distress,13.4,9.9,16.9,6410,5340,-76.83909692876041,38.51934748608619
2023,DC,District of Columbia,Metro County 15,11147,11147000434,11147000434,BPHIGH,high_blood_pressure,High blood pressure,35.2,32.2,38.2,6410,5340,-76.83909692876041,38.51934748608619
2023,DC,District of Columbia,Metro County 15,11147,11147000434,11147000434,ACCESS2,lack_health_insurance,Lack of health insurance,19.2,12.8,25.6,6410,5340,-76.83909692876041,38.51934748608619
2023,DC,District of Columbia,Metro County 15,11147,11147000434,11147000434,OBESITY,obesity,Obesity,36.7,32.8,40.6,6410,5340,-76.83909692876041,38.51934748608619
2023,DC,District of Columbia,Metro County 15,11147,11147000434,11147000434,LPA,physical_inactivity,Physical inactivity,33.8,31.1,36.5,6410,5340,-76.83909692876041,38.51934748608619
2023,DC,District of Columbia,Metro County 16,11015,11015000373,11015000373,CSMOKING,current_smoking,Current smoking,1,0,7,5175,3624,-77.82669290388003,37.503365450166164
2023,DC,District of Columbia,Metro County 16,11015,11015000373,11015000373,DIABETES,diabetes,Diabetes,4.7,1.2,8.2,5175,3624,-77.82669290388003,37.503365450166164
2023,DC,District of Columbia,Metro County 16,11015,11015000373,11015000373,MHLTH,frequent_mental_distress,Frequent mental distress,3.8,0,10.3,5175,3624,-77.82669290388003,37.503365450166164
