year,state,state_name,county_fips,county_name,population_2020,co_8hr_ppm,lead_3mo_ug_m3,no2_1hr_ppb,no2_annual_mean_ppb,ozone_8hr_ppb,pm10_24hr_ug_m3,pm25_24hr_ug_m3,pm25_annual_mean_ug_m3,so2_1hr_ppb,so2_annual_mean_ppb,co_8hr_ppm_status,lead_3mo_ug_m3_status,no2_1hr_ppb_status,no2_annual_mean_ppb_status,ozone_8hr_ppb_status,pm10_24hr_ug_m3_status,pm25_24hr_ug_m3_status,pm25_annual_mean_ug_m3_status,so2_1hr_ppb_status,so2_annual_mean_ppb_status
2025,AL,Alabama,01113,Russell County,59183,,,,,60,,19.7,8.8,,,no_data,no_data,no_data,no_data,reported,no_data,reported,reported,no_data,no_data
2025,AL,Alabama,01117,Shelby County,223024,,,,,62,,,,52.9,1.4,no_data,no_data,no_data,no_data,reported,no_data,no_data,no_data,reported,reported
2025,AL,Alabama,01119,Sumter County,12345,,,,,57,,13.6,7.1,5.3,0,no_data,no_data,insufficient_data,insufficient_data,reported,no_data,reported,reported,reported,reported
2025,AL,Alabama,01125,Tuscaloosa County,227036,,,,,61,,16.1,7.1,,,no_data,no_data,no_data,no_data,reported,no_data,reported,reported,no_data,no_data
2025,AR,Arkansas,05001,Arkansas County,17149,,,,,,,,9.5,,,no_data,no_data,no_data,no_data,no_data,no_data,insufficient_data,reported,no_data,no_data
2025,AR,Arkansas,05003,Ashley County,19062,,,,,,,17.5,8.7,,,no_data,no_data,no_data,no_data,no_data,no_data,reported,reported,no_data,no_data
2025,AR,Arkansas,05019,Clark County,21446,,,,,62,,,,,,no_data,no_data,no_data,no_data,reported,no_data,no_data,no_data,no_data,no_data
2025,AR,Arkansas,05035,Crittenden County,48163,,,,5.9,66,,16.7,8.3,,,no_data,no_data,insufficient_data,reported,reported,no_data,reported,reported,no_data,no_data
2025,AR,Arkansas,05051,Garland County,100180,,,,,,,25,9.5,,,no_data,no_data,no_data,no_data,no_data,no_data,reported,reported,no_data,no_data
2025,AR,Arkansas,05067,Jackson County,16755,,,,,,,19.7,8.7,,,no_data,no_data,no_data,no_data,no_data,no_data,reported,reported,no_data,no_data
2025,AR,Arkansas,05101,Newton County,7225,,,,,59,,,,,,no_data,no_data,no_data,no_data,reported,no_data,no_data,no_data,no_data,no_data
2025,AR,Arkansas,05113,Polk County,19221,,,,,62,,19.5,9.2,,,no_data,no_data,no_data,no_data,reported,no_data,reported,reported,no_data,no_data
2025,AR,Arkansas,05119,Pulaski County,399125,1.8,,,8.5,68,37,21.6,10.6,,0.8,reported,no_data,insufficient_data,reported,reported,reported,reported,reported,insufficient_data,reported
2025,AR,Arkansas,05139,Union County,39054,,,,,,,18,9.9,,,no_data,no_data,no_data,no_data,no_data,no_data,reported,reported,no_data,no_data
2025,AR,Arkansas,05143,Washington County,245871,,,,,59,35,19.8,8.8,,,no_data,no_data,no_data,no_data,reported,reported,reported,reported,no_data,no_data
2025,AZ,Arizona,04001,Apache County,66021,,,,,63,84,,,,,no_data,no_data,no_data,no_data,reported,reported,insufficient_data,insufficient_data,no_data,no_data
2025,AZ,Arizona,04003,Cochise County,125447,,,,,67,296,,,,,no_data,no_data,no_data,no_data,reported,reported,no_data,no_data,no_data,no_data
2025,AZ,Arizona,04005,Coconino County,145101,,,,,66,,,,,,no_data,no_data,no_data,no_data,reported,no_data,no_data,no_data,no_data,no_data
2025,AZ,Arizona,04007,Gila County,53272,,0.05,,,74,218,,,48.9,0.8,no_data,reported,no_data,no_data,reported,reported,no_data,no_data,reported,reported
2025,AZ,Arizona,04012,La Paz County,16557,,,,,68,142,11,4.4,,,no_data,no_data,no_data,no_data,reported,reported,reported,reported,no_data,no_data
2025,AZ,Arizona,04013,Maricopa County,4420568,2.7,,57,25.1,75,257,30.5,10.9,3,0.5,reported,no_data,reported,reported,reported,reported,reported,reported,reported,reported
2025,AZ,Arizona,04015,Mohave County,213267,,,,,,328,,,,,no_data,no_data,no_data,no_data,no_data,reported,insufficient_data,insufficient_data,no_data,no_data
2025,AZ,Arizona,04017,Navajo County,106717,,,,,,46,,,,,no_data,no_data,no_data,no_data,no_data,reported,no_data,no_data,no_data,no_data
2025,AZ,Arizona,04019,Pima County,1043433,0.8,,39.8,12.6,67,332,17.9,6.6,0.6,0,reported,no_data,reported,reported,reported,reported,reported,reported,reported,reported
2025,AZ,Arizona,04021,Pinal County,425264,,,,,71,514,23.4,10.6,,,no_data,no_data,no_data,no_data,reported,reported,reported,reported,no_data,no_data
2025,AZ,Arizona,04023,Santa Cruz County,47669,,,,,,188,27.7,11,,,no_data,no_data,no_data,no_data,no_data,reported,reported,reported,no_data,no_data
2025,AZ,Arizona,04025,Yavapai County,236209,,,,,67,,,,,,no_data,no_data,no_data,no_data,reported,no_data,no_data,no_data,no_data,no_data
2025,AZ,Arizona,04027,Yuma County,203881,,,,,68,219,18.2,7.8,,,no_data,no_data,no_data,no_data,reported,reported,reported,reported,no_data,no_data
2025,CA,California,06005,Amador County,40474,,,,,65,,,,,,no_data,no_data,no_data,no_data,reported,no_data,no_data,no_data,no_data,no_data
2025,CA,California,06007,Butte County,211632,,,25.8,4.5,58,48,,,,,insufficient_data,no_data,reported,reported,reported,reported,insufficient_data,insufficient_data,no_data,no_data
2025,CA,California,06009,Calaveras County,45292,,,,,66,35,11.8,5.2,,,no_data,no_data,no_data,no_data,reported,reported,reported,reported,no_data,no_data
2025,CA,California,06011,Colusa County,21839,,,,,53,72,16.3,6.1,,,no_data,no_data,no_data,no_data,reported,reported,reported,reported,no_data,no_data
2025,CA,California,06017,El Dorado County,191185,,,,,65,36,,,,,no_data,no_data,no_data,no_data,reported,reported,no_data,no_data,no_data,no_data
2025,CA,California,06019,Fresno County,1008654,1.2,,46.8,14.4,80,102,32.6,11.5,,0.4,reported,no_data,reported,reported,reported,reported,reported,reported,insufficient_data,reported
2025,CA,California,06021,Glenn County,28917,,,,,56,83,,,,,no_data,no_data,no_data,no_data,reported,reported,no_data,no_data,no_data,no_data
2025,CA,California,06023,Humboldt County,136463,,,,,47,49,20.6,6.9,,,no_data,no_data,no_data,no_data,reported,reported,reported,reported,no_data,no_data
2025,CA,California,06025,Imperial County,179702,,,53.8,10.3,82,330,29.9,9.9,4.8,0.4,no_data,no_data,reported,reported,reported,reported,reported,reported,reported,reported
2025,CA,California,06027,Inyo County,19016,1.9,,,,75,126,20.8,5.2,,,reported,no_data,no_data,no_data,reported,reported,reported,reported,no_data,insufficient_data
2025,CA,California,06029,Kern County,909235,0.8,,43.5,15.3,84,128,34.9,13.7,,,reported,no_data,reported,reported,reported,reported,reported,reported,no_data,no_data
2025,CA,California,06031,Kings County,152486,,,34.4,6.6,71,97,32.6,11.1,,,no_data,no_data,reported,reported,reported,reported,reported,reported,no_data,no_data
2025,CA,California,06033,Lake County,68163,,,,,49,29,17.9,4.1,,,no_data,no_data,no_data,no_data,reported,reported,reported,reported,no_data,no_data
2025,CA,California,06037,Los Angeles County,10014009,5.4,0.02,63.8,19.2,94,183,42.2,12.8,5.8,0.3,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported
2025,CA,California,06039,Madera County,156255,,,20.4,4.6,70,103,26.7,9.3,,,no_data,no_data,reported,reported,reported,reported,reported,reported,no_data,no_data
2025,CA,California,06043,Mariposa County,17131,,,,,66,,,,,,no_data,no_data,no_data,no_data,reported,no_data,no_data,no_data,no_data,no_data
2025,CA,California,06045,Mendocino County,91601,,,,,49,38,19,6.7,,,no_data,no_data,no_data,no_data,reported,reported,reported,reported,no_data,no_data
2025,CA,California,06047,Merced County,281202,,,,,69,75,24.4,7.7,,,no_data,no_data,no_data,no_data,reported,reported,reported,reported,no_data,no_data
2025,CA,California,06051,Mono County,13195,,,,,,207,34.6,7.3,,,no_data,no_data,no_data,no_data,no_data,reported,reported,reported,no_data,no_data
2025,CA,California,06053,Monterey County,439035,0.7,,23,3,50,65,12.4,5.8,,,reported,no_data,reported,reported,reported,reported,reported,reported,no_data,no_data
2025,CA,California,06057,Nevada County,102241,,,,,67,,9.8,3.5,,,no_data,no_data,no_data,no_data,reported,no_data,reported,reported,no_data,no_data
2025,CA,California,06059,Orange County,3186989,1.6,,51.9,18.6,74,92,33.8,10.6,,,reported,no_data,reported,reported,reported,reported,reported,reported,no_data,no_data
2025,CA,California,06061,Placer County,404739,,,31.2,5,67,38,17.3,7.6,,,no_data,no_data,reported,reported,reported,reported,reported,reported,no_data,no_data
2025,CA,California,06063,Plumas County,19790,,,,,,,35.8,10.7,,,no_data,no_data,no_data,no_data,no_data,no_data,reported,reported,no_data,no_data
2025,CA,California,06065,Riverside County,2418185,1.4,,47.7,12.3,93,281,38.8,12.7,1.9,0.3,reported,insufficient_data,reported,reported,reported,reported,reported,reported,reported,reported
2025,CA,California,06067,Sacramento County,1585055,1,,32,7.7,70,44,20.5,7.2,,,reported,no_data,reported,reported,reported,reported,reported,reported,insufficient_data,insufficient_data
2025,CA,California,06069,San Benito County,64209,,,,,59,33,11.2,4.4,,,no_data,no_data,no_data,no_data,reported,reported,reported,reported,no_data,no_data
2025,CA,California,06071,San Bernardino County,2181654,1.2,0.01,62.7,24.7,103,123,37,13.2,2.6,0.5,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported
2025,CA,California,06073,San Diego County,3298634,2.3,0.02,54.8,11.8,87,130,34.7,14.3,0.9,0.1,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported
2025,CA,California,06077,San Joaquin County,779233,,,31,7.8,59,83,23.5,8.8,,,no_data,no_data,reported,reported,reported,reported,reported,reported,no_data,no_data
2025,CA,California,06079,San Luis Obispo County,282424,,,23.1,3.3,72,74,19.5,7.3,,,no_data,no_data,reported,reported,reported,reported,reported,reported,no_data,no_data
2025,CA,California,06083,Santa Barbara County,448229,0.8,,21,2,60,95,16.6,9.5,2,0.2,reported,no_data,reported,reported,reported,reported,reported,reported,reported,reported
2025,CA,California,06085,Santa Clara County,1936259,,0.02,,,,,,,,,no_data,reported,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
2025,CA,California,06087,Santa Cruz County,270861,,,,,46,,15.6,4.8,,,no_data,no_data,no_data,no_data,reported,no_data,reported,reported,no_data,no_data
2025,CA,California,06089,Shasta County,182155,,,,,61,27,19.3,6.4,,,no_data,no_data,no_data,no_data,reported,reported,reported,reported,no_data,no_data
2025,CA,California,06093,Siskiyou County,44076,,,,,53,,28.2,6.5,,,no_data,no_data,no_data,no_data,reported,no_data,reported,reported,no_data,no_data
2025,CA,California,06095,Solano County,453491,,,,,54,17,,,,,no_data,no_data,no_data,no_data,reported,reported,no_data,no_data,no_data,no_data
2025,CA,California,06097,Sonoma County,488863,,,,,,30,,,,,no_data,no_data,no_data,no_data,no_data,reported,no_data,no_data,no_data,no_data
2025,CA,California,06099,Stanislaus County,552878,1,,31.2,6.6,69,96,27.1,8.5,,,reported,no_data,reported,reported,reported,reported,reported,reported,no_data,no_data
2025,CA,California,06101,Sutter County,99633,,,31.1,5,64,45,18.7,6.7,,,no_data,no_data,reported,reported,reported,reported,reported,reported,no_data,no_data
2025,CA,California,06103,Tehama County,65829,,,,,63,55,16.1,5.7,,,no_data,no_data,no_data,no_data,reported,reported,reported,reported,no_data,no_data
2025,CA,California,06107,Tulare County,473117,,,34.4,6.7,81,88,30.9,11.5,,,no_data,no_data,reported,reported,reported,reported,reported,reported,no_data,no_data
2025,CA,California,06109,Tuolumne County,55620,,,,,65,,,,,,no_data,no_data,no_data,no_data,reported,no_data,no_data,no_data,no_data,no_data
2025,CA,California,06111,Ventura County,843843,,,29,5.5,72,86,14.6,7.1,,,no_data,no_data,reported,reported,reported,reported,reported,reported,no_data,no_data
2025,CA,California,06113,Yolo County,216403,,,17.5,3,62,34,21.1,9.1,,,no_data,no_data,reported,reported,reported,reported,reported,reported,no_data,no_data
2025,CO,Colorado,08001,Adams County,519572,,,50.7,13.6,69,107,18,7.4,4.9,0.6,no_data,no_data,reported,reported,reported,reported,reported,reported,reported,reported
2025,CO,Colorado,08003,Alamosa County,16376,,,,,,101,13.3,5,,,no_data,no_data,no_data,no_data,no_data,reported,reported,reported,no_data,no_data
2025,CO,Colorado,08005,Arapahoe County,655070,,,,,70,,15.1,4.8,,,no_data,no_data,no_data,no_data,reported,no_data,reported,reported,no_data,no_data
2025,CO,Colorado,08007,Archuleta County,13359,,,,2.2,,47,11,4.3,,,no_data,no_data,insufficient_data,reported,insufficient_data,reported,reported,reported,no_data,no_data
2025,CO,Colorado,08013,Boulder County,330758,,,,,69,71,17.6,6.8,,,no_data,no_data,no_data,no_data,reported,reported,reported,reported,no_data,no_data
2025,CO,Colorado,08015,Chaffee County,19476,,,,,,,,,,,no_data,no_data,no_data,no_data,insufficient_data,no_data,no_data,no_data,no_data,no_data
2025,CO,Colorado,08019,Clear Creek County,9397,,,,,66,,,,,,no_data,no_data,no_data,no_data,reported,no_data,no_data,no_data,no_data,no_data
2025,CO,Colorado,08029,Delta County,31196,,,,,,70,,,,,no_data,no_data,no_data,no_data,no_data,reported,insufficient_data,insufficient_data,no_data,no_data
2025,CO,Colorado,08031,Denver County,715522,1.5,,57,21.6,71,49,18.6,7.3,5,0.7,reported,no_data,reported,reported,reported,reported,reported,reported,reported,reported
2025,CO,Colorado,08035,Douglas County,357978,,,,,73,,14.8,4.5,,,no_data,no_data,no_data,no_data,reported,no_data,reported,reported,no_data,no_data
2025,CO,Colorado,08041,El Paso County,730395,0.7,,,,69,52,12.2,4.7,,,reported,no_data,no_data,no_data,reported,reported,reported,reported,no_data,no_data
2025,CO,Colorado,08043,Fremont County,48939,,,,,,47,11.5,4.4,,,no_data,no_data,no_data,no_data,no_data,reported,reported,reported,no_data,no_data
2025,CO,Colorado,08045,Garfield County,61685,,,,2.2,64,38,,,,,no_data,no_data,insufficient_data,reported,reported,reported,insufficient_data,insufficient_data,no_data,no_data
2025,CO,Colorado,08047,Gilpin County,5808,,,,,66,,,,,,no_data,no_data,no_data,no_data,reported,no_data,no_data,no_data,no_data,no_data
2025,CO,Colorado,08049,Grand County,15717,,,,,,,,,,,no_data,no_data,no_data,no_data,insufficient_data,no_data,no_data,no_data,no_data,no_data
2025,CO,Colorado,08051,Gunnison County,16918,,,,,67,,,,,,no_data,no_data,no_data,no_data,reported,no_data,no_data,no_data,no_data,no_data
2025,CO,Colorado,08059,Jefferson County,582910,,,19,2.5,73,,,,,,no_data,no_data,reported,reported,reported,no_data,no_data,no_data,no_data,no_data
2025,CO,Colorado,08067,La Plata County,55638,,,15.2,3.4,68,,,,,,no_data,no_data,reported,reported,reported,no_data,no_data,no_data,no_data,no_data
2025,CO,Colorado,08069,Larimer County,359066,1,,33.9,6.5,73,,15.3,6.2,,,reported,no_data,reported,reported,reported,no_data,reported,reported,no_data,no_data
2025,CO,Colorado,08077,Mesa County,155703,,,,,62,48,15.6,5.7,,,no_data,no_data,no_data,no_data,reported,reported,reported,reported,no_data,no_data
2025,CO,Colorado,08083,Montezuma County,25849,,,,,64,,,,,,no_data,no_data,no_data,no_data,reported,no_data,no_data,no_data,no_data,no_data
2025,CO,Colorado,08093,Park County,17390,,,,,69,,,,,,no_data,no_data,no_data,no_data,reported,no_data,no_data,no_data,no_data,no_data
2025,CO,Colorado,08097,Pitkin County,17358,,,,,,91,15.4,4.2,,,no_data,no_data,no_data,no_data,no_data,reported,reported,reported,no_data,no_data
2025,CO,Colorado,08099,Prowers County,11999,,,,,,397,11.3,5.3,,,no_data,no_data,no_data,no_data,no_data,reported,reported,reported,no_data,no_data
2025,CO,Colorado,08101,Pueblo County,168162,,,,,66,61,12.7,5.1,,,no_data,no_data,no_data,no_data,reported,reported,reported,reported,no_data,no_data
2025,CO,Colorado,08107,Routt County,24829,,,,,,52,13.8,4.8,,,no_data,no_data,no_data,no_data,no_data,reported,reported,reported,no_data,no_data
2025,CO,Colorado,08113,San Miguel County,8072,,,,,64,70,14.1,3.8,,,no_data,no_data,no_data,no_data,reported,reported,reported,reported,no_data,no_data
2025,CO,Colorado,08123,Weld County,328981,0.6,,37.3,5.8,71,,19.4,8,,,reported,no_data,reported,reported,reported,no_data,reported,reported,no_data,no_data
2025,CT,Connecticut,09001,Fairfield County,957419,,,40.9,7.8,82,42,19.4,6.9,5.8,0.2,no_data,no_data,reported,reported,reported,reported,reported,reported,reported,reported
2025,CT,Connecticut,09003,Hartford County,899498,0.7,,42.1,12.5,75,55,21.9,7.1,,,reported,no_data,reported,reported,reported,reported,reported,reported,no_data,no_data
2025,CT,Connecticut,09005,Litchfield County,185186,0.5,,,,73,,21.6,5,1.9,0.1,reported,no_data,no_data,no_data,reported,no_data,reported,reported,reported,reported
2025,CT,Connecticut,09007,Middlesex County,164245,,,,,76,,,,,,no_data,no_data,no_data,no_data,reported,no_data,no_data,no_data,no_data,no_data
2025,CT,Connecticut,09009,New Haven County,864835,0.8,,,11.3,79,32,19.1,6.9,,0.2,reported,no_data,insufficient_data,reported,reported,reported,reported,reported,insufficient_data,reported
2025,CT,Connecticut,09011,New London County,268555,,,,,76,,15.9,5.7,,,no_data,no_data,no_data,no_data,reported,no_data,reported,reported,no_data,no_data
2025,CT,Connecticut,09013,Tolland County,149788,,,,,72,,,,,,no_data,no_data,no_data,no_data,reported,no_data,no_data,no_data,no_data,no_data
2025,CT,Connecticut,09015,Windham County,116418,,,,,65,,,,,,no_data,no_data,no_data,no_data,reported,no_data,no_data,no_data,no_data,no_data
2025,DC,District of Columbia,11001,District of Columbia,689545,1.6,,41.7,12,68,47,18.9,7.8,3.7,0.7,reported,no_data,reported,reported,reported,reported,reported,reported,reported,reported
2025,DE,Delaware,10001,Kent County,181851,,,,,68,,19.9,7,,,no_data,no_data,no_data,no_data,reported,no_data,reported,reported,no_data,no_data
2025,DE,Delaware,10003,New Castle County,570719,,,,9,67,,22.9,7.8,6.9,0.2,insufficient_data,no_data,insufficient_data,reported,reported,no_data,reported,reported,reported,reported
2025,DE,Delaware,10005,Sussex County,237378,,,,,65,,15.2,6.1,1.7,0,no_data,no_data,no_data,no_data,reported,no_data,reported,reported,reported,reported
2025,FL,Florida,12001,Alachua County,278468,,,,,55,,12.4,6.4,,,no_data,no_data,no_data,no_data,reported,no_data,reported,reported,no_data,no_data
2025,FL,Florida,12003,Baker County,28259,,,,,57,,,,,,no_data,no_data,no_data,no_data,reported,no_data,no_data,no_data,no_data,no_data
2025,FL,Florida,12005,Bay County,175216,,,,,57,,,,,,no_data,no_data,no_data,no_data,reported,no_data,no_data,no_data,no_data,no_data
2025,FL,Florida,12009,Brevard County,606612,,,,,62,43,10.5,5,,,no_data,no_data,no_data,no_data,reported,reported,reported,reported,no_data,no_data
2025,FL,Florida,12011,Broward County,1944375,1.3,,,14.6,62,49,16.4,7.3,1.5,0.2,reported,no_data,insufficient_data,reported,reported,reported,reported,reported,reported,reported
2025,FL,Florida,12017,Citrus County,153843,,,,,,,,,24.9,0.9,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,reported,reported
2025,FL,Florida,12021,Collier County,375752,,,,,59,,,,,,no_data,no_data,no_data,no_data,reported,no_data,no_data,no_data,no_data,no_data
2025,FL,Florida,12023,Columbia County,69698,,,,,62,,,,,,no_data,no_data,no_data,no_data,reported,no_data,no_data,no_data,no_data,no_data
2025,FL,Florida,12031,Duval County,995567,1.1,,44.5,10.1,64,47,18.1,8.4,15.9,1,reported,no_data,reported,reported,reported,reported,reported,reported,reported,reported
2025,FL,Florida,12033,Escambia County,321905,,,,,63,46,14,6.6,,0.5,no_data,no_data,no_data,no_data,reported,reported,reported,reported,insufficient_data,reported
2025,FL,Florida,12035,Flagler County,115378,,,,,58,,,,,,no_data,no_data,no_data,no_data,reported,no_data,no_data,no_data,no_data,no_data
2025,FL,Florida,12047,Hamilton County,14004,,,,,,,,,11.7,1.2,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,reported,reported
2025,FL,Florida,12055,Highlands County,101235,,,,,60,,,,,,no_data,no_data,no_data,no_data,reported,no_data,no_data,no_data,no_data,no_data
2025,FL,Florida,12057,Hillsborough County,1459762,0.7,0.05,36,8.9,67,64,13.9,7.6,46.8,1.5,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported
2025,FL,Florida,12059,Holmes County,19653,,,,,57,,,,,,no_data,no_data,no_data,no_data,reported,no_data,no_data,no_data,no_data,no_data
2025,FL,Florida,12061,Indian River County,159788,,,,,61,,,,,,no_data,no_data,no_data,no_data,reported,no_data,no_data,no_data,no_data,no_data
2025,FL,Florida,12069,Lake County,383956,,,,,61,,,,,,no_data,no_data,no_data,no_data,reported,no_data,no_data,no_data,no_data,no_data
2025,FL,Florida,12071,Lee County,760822,,,,,65,44,12.7,6.6,,,no_data,no_data,no_data,no_data,reported,reported,reported,reported,no_data,no_data
2025,FL,Florida,12073,Leon County,292198,,,,,59,,14.6,7.5,,,no_data,no_data,no_data,no_data,reported,no_data,reported,reported,no_data,no_data
2025,FL,Florida,12077,Liberty County,7974,,,,,56,,,,,,no_data,no_data,no_data,no_data,reported,no_data,no_data,no_data,no_data,no_data
2025,FL,Florida,12081,Manatee County,399710,,,,,62,,,,,0.5,no_data,no_data,no_data,no_data,reported,no_data,no_data,no_data,insufficient_data,reported
2025,FL,Florida,12083,Marion County,375908,,,,,62,,,,,,no_data,no_data,no_data,no_data,reported,no_data,no_data,no_data,no_data,no_data
2025,FL,Florida,12085,Martin County,158431,,,,,59,64,14.5,6.9,,,no_data,no_data,no_data,no_data,reported,reported,reported,reported,no_data,no_data
2025,FL,Florida,12086,Miami-Dade County,2701767,1.3,,51,13.7,62,63,16.5,8,,0.1,reported,no_data,reported,reported,reported,reported,reported,reported,insufficient_data,reported
2025,FL,Florida,12089,Nassau County,90352,,,,,,,,,56.2,2,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,reported,reported
2025,FL,Florida,12091,Okaloosa County,211668,,,,,59,48,,,,,no_data,no_data,no_data,no_data,reported,reported,no_data,no_data,no_data,no_data
2025,FL,Florida,12095,Orange County,1429908,1.1,,39.8,12.3,66,61,15.6,7.4,3.4,0.7,reported,no_data,reported,reported,reported,reported,reported,reported,reported,reported
2025,FL,Florida,12097,Osceola County,388656,,,,,62,,13.2,6.6,,,no_data,no_data,no_data,no_data,reported,no_data,reported,reported,no_data,no_data
2025,FL,Florida,12099,Palm Beach County,1492191,,,,,60,53,15,6.6,,,no_data,no_data,no_data,no_data,reported,reported,reported,reported,no_data,no_data
2025,FL,Florida,12101,Pasco County,561891,,,,,63,,,,,,no_data,no_data,no_data,no_data,reported,no_data,no_data,no_data,no_data,no_data
2025,FL,Florida,12103,Pinellas County,959107,0.8,,28.4,7.4,62,55,13.7,7.4,8.6,1.4,reported,no_data,reported,reported,reported,reported,reported,reported,reported,reported
2025,FL,Florida,12105,Polk County,725046,,,,,63,,,,12.4,1,no_data,no_data,no_data,no_data,reported,no_data,no_data,no_data,reported,reported
2025,FL,Florida,12107,Putnam County,73321,,,,,,87,,,6,0.7,no_data,no_data,no_data,no_data,no_data,reported,no_data,no_data,reported,reported
2025,FL,Florida,12113,Santa Rosa County,188000,,,,,59,,,,,,no_data,no_data,no_data,no_data,reported,no_data,no_data,no_data,no_data,no_data
2025,FL,Florida,12115,Sarasota County,434006,,,,,61,44,,,,,no_data,no_data,no_data,no_data,reported,reported,insufficient_data,insufficient_data,no_data,no_data
2025,FL,Florida,12117,Seminole County,470856,,,,,62,57,14,6.3,,,no_data,no_data,no_data,no_data,reported,reported,reported,reported,no_data,no_data
2025,FL,Florida,12111,St. Lucie County,329226,,,,,59,,,,,,no_data,no_data,no_data,no_data,reported,no_data,no_data,no_data,no_data,no_data
2025,FL,Florida,12127,Volusia County,553543,,,,,60,65,14.7,6.9,,,no_data,no_data,no_data,no_data,reported,reported,reported,reported,no_data,no_data
2025,FL,Florida,12129,Wakulla County,33764,0.7,,,,56,,,,1.2,0.1,reported,no_data,no_data,no_data,reported,no_data,no_data,no_data,reported,reported
2025,GA,Georgia,13021,Bibb County,157346,,,,,58,,20.8,9.4,2.3,0.1,no_data,no_data,no_data,no_data,reported,no_data,reported,reported,reported,reported
2025,GA,Georgia,13051,Chatham County,295291,,,,,56,,18.1,8.5,32.8,1,no_data,no_data,no_data,no_data,reported,no_data,reported,reported,reported,reported
2025,GA,Georgia,13059,Clarke County,128671,,,,,60,,19.7,7.9,,,no_data,no_data,no_data,no_data,reported,no_data,reported,reported,no_data,no_data
2025,GA,Georgia,13063,Clayton County,297595,,,,,,,16.7,8.7,,,no_data,no_data,no_data,no_data,no_data,no_data,reported,reported,no_data,no_data
