season,season_start_year,month,geography,estimate_50_64_years,estimate_ge_65_years,estimate_6_months_4_years,estimate_5_12_years,estimate_13_17_years,estimate_18_49_years,ci_lower_50_64_years,ci_lower_ge_65_years,ci_lower_6_months_4_years,ci_lower_5_12_years,ci_lower_13_17_years,ci_lower_18_49_years,ci_upper_50_64_years,ci_upper_ge_65_years,ci_upper_6_months_4_years,ci_upper_5_12_years,ci_upper_13_17_years,ci_upper_18_49_years,sample_size_50_64_years,sample_size_ge_65_years,sample_size_6_months_4_years,sample_size_5_12_years,sample_size_13_17_years,sample_size_18_49_years
2009-10,2009,2,Region 6,44.9,69.7,,,,,42.9,67.9,,,,,46.9,71.5,,,,,11737,11762,,,,
2009-10,2009,2,Region 7,47.1,70.2,,,,,45.1,68.4,,,,,49.1,72,,,,,10567,11224,,,,
2009-10,2009,2,Region 8,47.6,71.2,,,,,46.2,69.8,,,,,49,72.6,,,,,12852,11243,,,,
2009-10,2009,2,Region 9,41.8,66.6,,,,,39.8,64.7,,,,,43.8,68.5,,,,,9184,8946,,,,
2009-10,2009,2,United States,44.2,68.5,,,,,43.6,67.9,,,,,44.8,69.1,,,,,119754,115018,,,,
2009-10,2009,3,Region 1,50.5,73.5,,,,,48.9,72,,,,,52.1,75,,,,,13904,12164,,,,
2009-10,2009,3,Region 10,43.5,68.3,,,,,42,66.9,,,,,45,69.7,,,,,10112,9455,,,,
2009-10,2009,3,Region 2,43.8,68.2,,,,,41.5,66.1,,,,,46.1,70.3,,,,,5152,4550,,,,
2009-10,2009,3,Region 3,49.2,70.2,,,,,47.6,68.6,,,,,50.8,71.8,,,,,11028,9935,,,,
2009-10,2009,3,Region 4,42.4,68.2,,,,,41.2,67.2,,,,,43.6,69.2,,,,,22540,24341,,,,
2009-10,2009,3,Region 5,43.9,68.5,,,,,42.5,67.1,,,,,45.3,69.9,,,,,12678,11398,,,,
2009-10,2009,3,Region 6,45.4,70.8,,,,,43.4,69,,,,,47.4,72.6,,,,,11737,11762,,,,
2009-10,2009,3,Region 7,47.4,70.4,,,,,45.4,68.6,,,,,49.4,72.2,,,,,10567,11224,,,,
2009-10,2009,3,Region 8,48.1,71.7,,,,,46.6,70.3,,,,,49.6,73.1,,,,,12852,11243,,,,
2009-10,2009,3,Region 9,42.5,67.3,,,,,40.5,65.4,,,,,44.5,69.2,,,,,9184,8946,,,,
2009-10,2009,3,United States,44.7,69.1,,,,,44.1,68.5,,,,,45.3,69.7,,,,,119754,115018,,,,
2009-10,2009,4,Region 1,50.7,73.9,,,,,49.1,72.4,,,,,52.3,75.4,,,,,13904,12164,,,,
2009-10,2009,4,Region 10,43.8,68.5,,,,,42.2,67.1,,,,,45.4,69.9,,,,,10112,9455,,,,
2009-10,2009,4,Region 2,43.9,69.8,,,,,41.6,67.5,,,,,46.2,72.1,,,,,5152,4550,,,,
2009-10,2009,4,Region 3,49.4,70.5,,,,,47.7,68.9,,,,,51.1,72.1,,,,,11028,9935,,,,
2009-10,2009,4,Region 4,42.6,68.4,,,,,41.4,67.3,,,,,43.8,69.5,,,,,22540,24341,,,,
2009-10,2009,4,Region 5,44.1,68.8,,,,,42.7,67.4,,,,,45.5,70.2,,,,,12678,11398,,,,
2009-10,2009,4,Region 6,45.7,70.9,,,,,43.7,69.1,,,,,47.7,72.7,,,,,11737,11762,,,,
2009-10,2009,4,Region 7,47.7,70.8,,,,,45.7,69,,,,,49.7,72.6,,,,,10567,11224,,,,
2009-10,2009,4,Region 8,48.4,71.8,,,,,46.9,70.4,,,,,49.9,73.2,,,,,12852,11243,,,,
2009-10,2009,4,Region 9,42.7,67.6,,,,,40.7,65.7,,,,,44.7,69.5,,,,,9184,8946,,,,
2009-10,2009,4,United States,44.9,69.5,,,,,44.3,68.9,,,,,45.5,70.1,,,,,119754,115018,,,,
2009-10,2009,5,Region 1,50.7,73.9,,,,,49.1,72.4,,,,,52.3,75.4,,,,,13904,12164,,,,
2009-10,2009,5,Region 10,43.8,68.7,,,,,42.2,67.3,,,,,45.4,70.1,,,,,10112,9455,,,,
2009-10,2009,5,Region 2,43.9,69.8,,,,,41.6,67.5,,,,,46.2,72.1,,,,,5152,4550,,,,
2009-10,2009,5,Region 3,49.4,70.5,,,,,47.7,68.9,,,,,51.1,72.1,,,,,11028,9935,,,,
2009-10,2009,5,Region 4,42.6,68.4,,,,,41.4,67.3,,,,,43.8,69.5,,,,,22540,24341,,,,
2009-10,2009,5,Region 5,44.1,68.9,,,,,42.7,67.5,,,,,45.5,70.3,,,,,12678,11398,,,,
2009-10,2009,5,Region 6,45.8,71,,,,,43.8,69.2,,,,,47.8,72.8,,,,,11737,11762,,,,
2009-10,2009,5,Region 7,47.7,70.8,,,,,45.7,69,,,,,49.7,72.6,,,,,10567,11224,,,,
2009-10,2009,5,Region 8,48.7,72.1,,,,,47.2,70.6,,,,,50.2,73.6,,,,,12852,11243,,,,
2009-10,2009,5,Region 9,43.2,67.6,,,,,41,65.7,,,,,45.4,69.5,,,,,9184,8946,,,,
2009-10,2009,5,United States,45,69.6,,,,,44.4,69,,,,,45.6,70.2,,,,,119754,115018,,,,
2009-10,2009,8,Region 1,0.5,1,,,,,0.3,0.7,,,,,0.7,1.3,,,,,13904,12164,,,,
2009-10,2009,8,Region 10,0.5,0.6,,,,,0.3,0.4,,,,,0.7,0.8,,,,,10112,9455,,,,
2009-10,2009,8,Region 2,,0.6,,,,,,0.3,,,,,,0.9,,,,,,4550,,,,
2009-10,2009,8,Region 3,,0.7,,,,,,0.5,,,,,,0.9,,,,,,9935,,,,
2009-10,2009,8,Region 4,0.6,0.9,,,,,0.4,0.7,,,,,0.8,1.1,,,,,22540,24341,,,,
2009-10,2009,8,Region 5,0.7,1,,,,,0.5,0.7,,,,,0.9,1.3,,,,,12678,11398,,,,
2009-10,2009,8,Region 6,1.1,1,,,,,0.7,0.6,,,,,1.5,1.4,,,,,11737,11762,,,,
2009-10,2009,8,Region 7,0.5,0.6,,,,,0.3,0.4,,,,,0.7,0.8,,,,,10567,11224,,,,
2009-10,2009,8,Region 8,0.7,1,,,,,0.4,0.8,,,,,1,1.2,,,,,12852,11243,,,,
2009-10,2009,8,Region 9,0.8,1.3,,,,,0.5,0.9,,,,,1.1,1.7,,,,,9184,8946,,,,
2009-10,2009,8,United States,0.7,0.9,,,,,0.6,0.8,,,,,0.8,1,,,,,119754,115018,,,,
2009-10,2009,9,Region 1,8.1,13,,,,,7.4,12.1,,,,,8.8,13.9,,,,,13904,12164,,,,
2009-10,2009,9,Region 10,8.9,12.5,,,,,8.2,11.7,,,,,9.6,13.3,,,,,10112,9455,,,,
2009-10,2009,9,Region 2,7.4,11.1,,,,,6.4,9.9,,,,,8.4,12.3,,,,,5152,4550,,,,
2009-10,2009,9,Region 3,8.7,13,,,,,7.8,11.8,,,,,9.6,14.2,,,,,11028,9935,,,,
2009-10,2009,9,Region 4,8.1,12.9,,,,,7.5,12.2,,,,,8.7,13.6,,,,,22540,24341,,,,
2009-10,2009,9,Region 5,8.3,13.9,,,,,7.7,13,,,,,8.9,14.8,,,,,12678,11398,,,,
2009-10,2009,9,Region 6,8.7,14.3,,,,,7.7,13.1,,,,,9.7,15.5,,,,,11737,11762,,,,
2009-10,2009,9,Region 7,7.6,15.2,,,,,6.8,13.8,,,,,8.4,16.6,,,,,10567,11224,,,,
2009-10,2009,9,Region 8,9,12.9,,,,,8.3,11.9,,,,,9.7,13.9,,,,,12852,11243,,,,
2009-10,2009,9,Region 9,7.9,13.4,,,,,7,12.3,,,,,8.8,14.5,,,,,9184,8946,,,,
2009-10,2009,9,United States,8.2,13.2,,,,,7.9,12.8,,,,,8.5,13.6,,,,,119754,115018,,,,
2009-10,2009,10,Region 1,27.3,44.2,,,,,26.1,42.7,,,,,28.5,45.7,,,,,13904,12164,,,,
2009-10,2009,10,Region 10,27.7,44.3,,,,,26.5,43,,,,,28.9,45.6,,,,,10112,9455,,,,
2009-10,2009,10,Region 2,24.4,42.9,,,,,22.7,40.8,,,,,26.1,45,,,,,5152,4550,,,,
2009-10,2009,10,Region 3,31.2,44.6,,,,,29.8,43,,,,,32.6,46.2,,,,,11028,9935,,,,
2009-10,2009,10,Region 4,27.1,45.3,,,,,26.1,44.3,,,,,28.1,46.3,,,,,22540,24341,,,,
2009-10,2009,10,Region 5,27.6,46.2,,,,,26.5,44.9,,,,,28.7,47.5,,,,,12678,11398,,,,
2009-10,2009,10,Region 6,29.3,47.5,,,,,27.7,45.7,,,,,30.9,49.3,,,,,11737,11762,,,,
2009-10,2009,10,Region 7,29.9,47.4,,,,,28.3,45.6,,,,,31.5,49.2,,,,,10567,11224,,,,
2009-10,2009,10,Region 8,31.2,47.9,,,,,30,46.4,,,,,32.4,49.4,,,,,12852,11243,,,,
2009-10,2009,10,Region 9,24.6,41.4,,,,,23.2,39.7,,,,,26,43.1,,,,,9184,8946,,,,
2009-10,2009,10,United States,27.5,44.9,,,,,27,44.4,,,,,28,45.4,,,,,119754,115018,,,,
2009-10,2009,11,Region 1,40.3,61.8,,,,,38.9,60.3,,,,,41.7,63.3,,,,,13904,12164,,,,
2009-10,2009,11,Region 10,38,58.7,,,,,36.6,57.3,,,,,39.4,60.1,,,,,10112,9455,,,,
2009-10,2009,11,Region 2,35.2,58.3,,,,,33.2,56.2,,,,,37.2,60.4,,,,,5152,4550,,,,
2009-10,2009,11,Region 3,42.9,60.9,,,,,41.3,59.3,,,,,44.5,62.5,,,,,11028,9935,,,,
2009-10,2009,11,Region 4,36.5,59.6,,,,,35.4,58.6,,,,,37.6,60.6,,,,,22540,24341,,,,
2009-10,2009,11,Region 5,38.5,60.6,,,,,37.2,59.2,,,,,39.8,62,,,,,12678,11398,,,,
2009-10,2009,11,Region 6,38.6,61.5,,,,,36.7,59.7,,,,,40.5,63.3,,,,,11737,11762,,,,
2009-10,2009,11,Region 7,41.7,62.1,,,,,39.9,60.3,,,,,43.5,63.9,,,,,10567,11224,,,,
2009-10,2009,11,Region 8,42.2,64,,,,,40.9,62.5,,,,,43.5,65.5,,,,,12852,11243,,,,
2009-10,2009,11,Region 9,33.6,55.1,,,,,31.9,53.3,,,,,35.3,56.9,,,,,9184,8946,,,,
2009-10,2009,11,United States,37.8,59.7,,,,,37.3,59.2,,,,,38.3,60.2,,,,,119754,115018,,,,
2009-10,2009,12,Region 1,45.6,67.4,,,,,44.1,65.9,,,,,47.1,68.9,,,,,13904,12164,,,,
2009-10,2009,12,Region 10,40.7,63.3,,,,,39.3,61.9,,,,,42.1,64.7,,,,,10112,9455,,,,
2009-10,2009,12,Region 2,40,63.1,,,,,37.9,61,,,,,42.1,65.2,,,,,5152,4550,,,,
2009-10,2009,12,Region 3,46.3,65.2,,,,,44.7,63.6,,,,,47.9,66.8,,,,,11028,9935,,,,
2009-10,2009,12,Region 4,39,63.3,,,,,37.9,62.3,,,,,40.1,64.3,,,,,22540,24341,,,,
2009-10,2009,12,Region 5,41.4,65.1,,,,,40.1,63.7,,,,,42.7,66.5,,,,,12678,11398,,,,
2009-10,2009,12,Region 6,41.6,65.4,,,,,39.7,63.6,,,,,43.5,67.2,,,,,11737,11762,,,,
2009-10,2009,12,Region 7,44.5,67,,,,,42.6,65.2,,,,,46.4,68.8,,,,,10567,11224,,,,
2009-10,2009,12,Region 8,44.9,67.7,,,,,43.5,66.3,,,,,46.3,69.1,,,,,12852,11243,,,,
2009-10,2009,12,Region 9,37,59.5,,,,,35.2,57.7,,,,,38.8,61.3,,,,,9184,8946,,,,
2009-10,2009,12,United States,41.1,64,,,,,40.5,63.5,,,,,41.7,64.5,,,,,119754,115018,,,,
2010-11,2010,1,Region 1,47.8,67,79,61.4,45.5,33.4,46.4,65.6,75.1,57.3,41.3,31.8,49.2,68.4,82.9,65.5,49.7,35,16958,15823,3225,4701,2937,15418
2010-11,2010,1,Region 10,40.1,60.1,56.4,46.1,30.6,27.8,38.5,58.5,50,40.9,22.6,26,41.7,61.7,62.8,51.3,38.6,29.6,9852,9332,2463,3060,2033,8262
2010-11,2010,1,Region 2,42.4,63.3,63.3,56.2,35.8,27.4,40.2,61.1,58.3,52.4,31.8,25,44.6,65.5,68.3,60,39.8,29.8,6457,6043,2027,2164,2038,6683
2010-11,2010,1,Region 3,44.5,66.2,69.5,57.5,36.9,31.3,42.7,64.6,65.9,53.9,33.3,29.5,46.3,67.8,73.1,61.1,40.5,33.1,11192,10955,4920,5443,3869,10468
2010-11,2010,1,Region 4,41.3,64.9,53.3,47.6,28.1,27.5,39.9,63.7,49.5,44.8,25.6,26.1,42.7,66.1,57.1,50.4,30.6,28.9,22413,25925,5470,6616,4875,18831
2010-11,2010,1,Region 5,41,61.8,59.4,50.6,33.1,27.3,39.4,60.2,55.6,47.5,30,25.7,42.6,63.4,63.2,53.7,36.2,28.9,14848,14157,4754,5583,3993,13283
2010-11,2010,1,Region 6,44.7,64.1,59,50.5,29.7,28.9,42.3,62.3,54.4,46.2,26.2,26.7,47.1,65.9,63.6,54.8,33.2,31.1,12898,14037,5335,5854,5376,11554
2010-11,2010,1,Region 7,45.1,67.3,58.9,49.4,32.9,34.2,43.1,65.5,53,44.7,28.9,32,47.1,69.1,64.8,54.1,36.9,36.4,12139,14122,2535,3477,1996,10399
2010-11,2010,1,Region 8,43.4,62.8,61.3,51.5,36,32.5,41.8,61.4,56.2,46.5,31.7,30.9,45,64.2,66.4,56.5,40.3,34.1,13257,12603,3938,5186,2894,12394
2010-11,2010,1,Region 9,38.2,58.3,60,48.9,31.7,24,36.4,56.5,55,44.7,27.2,22.4,40,60.1,65,53.1,36.2,25.6,8806,9639,3228,3974,2835,8821
2010-11,2010,1,United States,42.1,63.3,60.2,51.2,32.6,28.2,41.5,62.7,58.6,49.9,31.3,27.6,42.7,63.9,61.8,52.5,33.9,28.8,128820,132636,37895,46058,32846,116113
2010-11,2010,2,Region 1,48.6,68,79.3,62.8,46.3,34.2,47.2,66.6,75.4,58.7,42.1,32.6,50,69.4,83.2,66.9,50.5,35.8,16958,15823,3225,4701,2937,15418
2010-11,2010,2,Region 10,41.1,61.4,57.8,47,31.5,28.9,39.5,59.8,51.2,41.8,23.5,27.1,42.7,63,64.4,52.2,39.5,30.7,9852,9332,2463,3060,2033,8262
2010-11,2010,2,Region 2,43.5,64.4,64.7,58.2,36,29.1,41.1,62.2,59.6,54.3,32,26.7,45.9,66.6,69.8,62.1,40,31.5,6457,6043,2027,2164,2038,6683
2010-11,2010,2,Region 3,45.7,67.4,71.2,58.7,39.1,32.6,43.9,65.8,67.6,55.1,34.9,30.8,47.5,69,74.8,62.3,43.3,34.4,11192,10955,4920,5443,3869,10468
2010-11,2010,2,Region 4,43,66.5,56.2,49.5,28.7,28.2,41.6,65.3,52.1,46.6,26.2,26.8,44.4,67.7,60.3,52.4,31.2,29.6,22413,25925,5470,6616,4875,18831
2010-11,2010,2,Region 5,42.1,63.3,61.6,51.8,33.7,28.5,40.5,61.7,57.6,48.7,30.6,26.7,43.7,64.9,65.6,54.9,36.8,30.3,14848,14157,4754,5583,3993,13283
2010-11,2010,2,Region 6,46.5,65.5,60,51,30.6,30.6,44.1,63.7,55.4,46.7,27.1,28.2,48.9,67.3,64.6,55.3,34.1,33,12898,14037,5335,5854,5376,11554
2010-11,2010,2,Region 7,46.2,68.5,59.5,51.4,33.3,35.4,44.2,66.7,53.6,46.1,29.3,33.2,48.2,70.3,65.4,56.7,37.3,37.6,12139,14122,2535,3477,1996,10399
2010-11,2010,2,Region 8,44.8,64.7,62.6,54.6,37.1,33.5,43.2,63.3,57.5,48.6,32.7,31.9,46.4,66.1,67.7,60.6,41.5,35.1,13257,12603,3938,5186,2894,12394
2010-11,2010,2,Region 9,39.6,60.5,62.1,51.7,33.2,25.4,37.8,58.7,57,47.1,28.5,23.8,41.4,62.3,67.2,56.3,37.9,27,8806,9639,3228,3974,2835,8821
2010-11,2010,2,United States,43.5,64.8,62,52.8,33.5,29.4,42.9,64.2,60.4,51.4,32.2,28.8,44.1,65.4,63.6,54.2,34.8,30,128820,132636,37895,46058,32846,116113
2010-11,2010,3,Region 1,49.2,68.8,79.4,63.7,46.3,34.9,47.8,67.4,75.5,59.6,42.1,33.3,50.6,70.2,83.3,67.8,50.5,36.5,16958,15823,3225,4701,2937,15418
2010-11,2010,3,Region 10,41.6,62,58,47.1,31.6,28.9,39.8,60.4,51.3,41.9,23.6,27.1,43.4,63.6,64.7,52.3,39.6,30.7,9852,9332,2463,3060,2033,8262
2010-11,2010,3,Region 2,43.9,65.5,66,58.5,36.6,29.5,41.5,63.1,60.8,54.6,32.6,27,46.3,67.9,71.2,62.4,40.6,32,6457,6043,2027,2164,2038,6683
2010-11,2010,3,Region 3,46.3,68.2,71.7,60.5,40.7,33.2,44.5,66.6,68.1,56.5,36.3,31.4,48.1,69.8,75.3,64.5,45.1,35,11192,10955,4920,5443,3869,10468
2010-11,2010,3,Region 4,43.5,67.2,57.3,50.9,28.8,28.8,41.9,66,53.1,47.8,26.3,27.4,45.1,68.4,61.5,54,31.3,30.2,22413,25925,5470,6616,4875,18831
2010-11,2010,3,Region 5,42.5,64.3,62,53.7,34.3,29.5,40.9,62.7,58,49.9,31.2,27.7,44.1,65.9,66,57.5,37.4,31.3,14848,14157,4754,5583,3993,13283
2010-11,2010,3,Region 6,47.5,66.2,60.7,51.8,30.8,30.8,45.1,64.4,56,47.4,27.3,28.4,49.9,68,65.4,56.2,34.3,33.2,12898,14037,5335,5854,5376,11554
2010-11,2010,3,Region 7,46.5,69,60,51.6,33.3,35.9,44.5,67.2,54.1,46.3,29.3,33.7,48.5,70.8,65.9,56.9,37.3,38.1,12139,14122,2535,3477,1996,10399
2010-11,2010,3,Region 8,45.6,65.8,65.2,55.4,37.2,34.1,44,64.4,59.7,49.3,32.8,32.3,47.2,67.2,70.7,61.5,41.6,35.9,13257,12603,3938,5186,2894,12394
2010-11,2010,3,Region 9,40.4,61.2,63.2,53.6,34.3,26,38.4,59.4,58.1,48.7,29.5,24.4,42.4,63,68.3,58.5,39.1,27.6,8806,9639,3228,3974,2835,8821
2010-11,2010,3,United States,44.1,65.6,62.9,54,34,30,43.5,65,61.2,52.5,32.6,29.4,44.7,66.2,64.6,55.5,35.4,30.6,128820,132636,37895,46058,32846,116113
2010-11,2010,4,Region 1,49.5,69.4,80.4,64,46.5,35.3,48.1,68,76.3,59.9,42.3,33.7,50.9,70.8,84.5,68.1,50.7,36.9,16958,15823,3225,4701,2937,15418
2010-11,2010,4,Region 10,41.9,62.4,58,47.4,31.8,29.1,40.1,60.8,51.3,42.1,23.8,27.3,43.7,64,64.7,52.7,39.8,30.9,9852,9332,2463,3060,2033,8262
2010-11,2010,4,Region 2,43.9,66.7,67.5,61.8,36.8,29.7,41.5,64.3,62.2,57.2,32.8,27.2,46.3,69.1,72.8,66.4,40.8,32.2,6457,6043,2027,2164,2038,6683
2010-11,2010,4,Region 3,46.5,68.5,72,60.6,41,33.6,44.7,66.9,68.4,56.6,36.6,31.6,48.3,70.1,75.6,64.6,45.4,35.6,11192,10955,4920,5443,3869,10468
2010-11,2010,4,Region 4,43.6,67.6,58.4,51.2,29.8,29.3,42,66.4,54.1,48,27.1,27.7,45.2,68.8,62.7,54.4,32.5,30.9,22413,25925,5470,6616,4875,18831
2010-11,2010,4,Region 5,42.7,64.6,62,54,34.3,29.9,41.1,63,58,50.2,31.2,27.9,44.3,66.2,66,57.8,37.4,31.9,14848,14157,4754,5583,3993,13283
2010-11,2010,4,Region 6,47.5,67.8,60.8,52.3,30.9,31.1,45.1,65.4,56.1,47.8,27.4,28.7,49.9,70.2,65.5,56.8,34.4,33.5,12898,14037,5335,5854,5376,11554
2010-11,2010,4,Region 7,46.5,69.1,60,52,33.3,36.1,44.5,67.3,54.1,46.7,29.3,33.9,48.5,70.9,65.9,57.3,37.3,38.3,12139,14122,2535,3477,1996,10399
2010-11,2010,4,Region 8,45.8,66.3,65.2,55.8,37.3,34.8,44.2,64.7,59.7,49.7,32.9,33,47.4,67.9,70.7,61.9,41.7,36.6,13257,12603,3938,5186,2894,12394
2010-11,2010,4,Region 9,41.1,62.4,63.8,53.6,34.3,26.4,39.1,60.6,58.7,48.7,29.5,24.8,43.1,64.2,68.9,58.5,39.1,28,8806,9639,3228,3974,2835,8821
2010-11,2010,4,United States,44.3,66.3,63.4,54.5,34.3,30.4,43.7,65.7,61.7,53,32.9,29.8,44.9,66.9,65.1,56,35.7,31,128820,132636,37895,46058,32846,116113
2010-11,2010,5,Region 1,50.3,69.6,80.4,64.9,46.8,35.5,48.7,68.2,76.3,60.6,42.6,33.7,51.9,71,84.5,69.2,51,37.3,16958,15823,3225,4701,2937,15418
2010-11,2010,5,Region 10,42.4,62.8,58,47.4,31.8,29.2,40.4,61,51.3,42.1,23.8,27.4,44.4,64.6,64.7,52.7,39.8,31,9852,9332,2463,3060,2033,8262
2010-11,2010,5,Region 2,43.9,67.3,67.5,62.7,37.1,29.7,41.5,64.8,62.2,58,33.1,27.2,46.3,69.8,72.8,67.4,41.1,32.2,6457,6043,2027,2164,2038,6683
2010-11,2010,5,Region 3,46.7,68.7,72.1,60.6,41,34,44.9,67.1,68.5,56.6,36.6,32,48.5,70.3,75.7,64.6,45.4,36,11192,10955,4920,5443,3869,10468
2010-11,2010,5,Region 4,43.6,67.9,59.3,51.3,30.2,29.5,42,66.5,54.7,48.1,27.4,27.9,45.2,69.3,63.9,54.5,33,31.1,22413,25925,5470,6616,4875,18831
2010-11,2010,5,Region 5,42.7,64.7,62,54.4,34.3,30,41.1,63.1,58,50.6,31.2,28,44.3,66.3,66,58.2,37.4,32,14848,14157,4754,5583,3993,13283
2010-11,2010,5,Region 6,47.6,67.9,60.9,52.3,30.9,31.3,45.2,65.5,56.2,47.8,27.4,28.9,50,70.3,65.6,56.8,34.4,33.7,12898,14037,5335,5854,5376,11554
2010-11,2010,5,Region 7,46.5,69.3,60,52,33.3,36.1,44.5,67.5,54.1,46.7,29.3,33.9,48.5,71.1,65.9,57.3,37.3,38.3,12139,14122,2535,3477,1996,10399
2010-11,2010,5,Region 8,45.9,66.5,65.2,55.8,37.3,34.8,44.3,64.9,59.7,49.7,32.9,33,47.5,68.1,70.7,61.9,41.7,36.6,13257,12603,3938,5186,2894,12394
2010-11,2010,5,Region 9,41.5,63,63.8,53.8,34.3,26.5,39.5,61,58.7,48.9,29.5,24.9,43.5,65,68.9,58.7,39.1,28.1,8806,9639,3228,3974,2835,8821
2010-11,2010,5,United States,44.5,66.6,63.6,54.7,34.5,30.5,43.9,66,61.9,53.2,33.1,29.9,45.1,67.2,65.3,56.2,35.9,31.1,128820,132636,37895,46058,32846,116113
2010-11,2010,8,Region 1,0.7,1.1,3,2.8,3.3,0.5,0.5,0.9,1.9,1.7,1.5,0.3,0.9,1.3,4.1,3.9,5.1,0.7,16958,15823,3225,4701,2937,15418
2010-11,2010,8,Region 10,0.6,1.1,1.5,1.7,,0.6,0.4,0.7,0.7,0.9,,0.4,0.8,1.5,2.3,2.5,,0.8,9852,9332,2463,3060,,8262
2010-11,2010,8,Region 2,0.9,1,3.3,3,2,,0.5,0.6,1.7,1.6,1.3,,1.3,1.4,4.9,4.4,2.7,,6457,6043,2027,2164,2038,
2010-11,2010,8,Region 3,0.6,0.8,3.6,3.4,1.9,0.5,0.4,0.6,2.5,2.2,1,0.3,0.8,1,4.7,4.6,2.8,0.7,11192,10955,4920,5443,3869,10468
2010-11,2010,8,Region 4,0.6,1.1,4,4,2.5,0.8,0.4,0.9,3.1,3.2,1.5,0.6,0.8,1.3,4.9,4.8,3.5,1,22413,25925,5470,6616,4875,18831
2010-11,2010,8,Region 5,0.6,0.8,3.8,3.2,,0.7,0.4,0.6,2.4,2.2,,0.5,0.8,1,5.2,4.2,,0.9,14848,14157,4754,5583,,13283
2010-11,2010,8,Region 6,0.7,1.2,3.7,4.8,2.9,0.7,0.3,0.8,2.6,3.2,1.5,0.5,1.1,1.6,4.8,6.4,4.3,0.9,12898,14037,5335,5854,5376,11554
2010-11,2010,8,Region 7,,0.8,3.1,3.3,,,,0.6,2.1,2.1,,,,1,4.1,4.5,,,,14122,2535,3477,,
2010-11,2010,8,Region 8,0.5,0.7,3.8,2.6,1,1,0.3,0.5,2.3,1.5,0.5,0.6,0.7,0.9,5.3,3.7,1.5,1.4,13257,12603,3938,5186,2894,12394
2010-11,2010,8,Region 9,0.7,1.4,3.3,4.1,3.4,0.9,0.5,1,2,3.1,1.8,0.5,0.9,1.8,4.6,5.1,5,1.3,8806,9639,3228,3974,2835,8821
2010-11,2010,8,United States,0.6,1,3.5,3.6,2.5,0.7,0.6,0.8,3.1,3.2,2,0.5,0.6,1.2,3.9,4,3,0.9,128820,132636,37895,46058,32846,116113
2010-11,2010,9,Region 1,6.8,10.9,18.5,14.1,10,4.5,6.2,10.1,14.7,11.6,7.6,3.9,7.4,11.7,22.3,16.6,12.4,5.1,16958,15823,3225,4701,2937,15418
2010-11,2010,9,Region 10,5.6,9.6,9.5,10.8,4.7,4.3,5,8.8,6.9,8.3,2.9,3.7,6.2,10.4,12.1,13.3,6.5,4.9,9852,9332,2463,3060,2033,8262
